run_name,species_set,distortion_model,continuum_setting,N_lines_gold,delta_alpha_over_alpha,sigma,jitter,fit_metric,notes
tight_cauchy_deg2_Fe_blue,Fe,poly_deg2,tight,5,-0.002527176893446667,0.00021183325446098768,3.0000001019360364e-07,5.317750366711215,
tight_cauchy_deg2_Fe_red,Fe,poly_deg2,tight,5,-0.0013607969450473813,0.00024063169791175128,3.000000060768113e-07,68.14096575379074,
tight_cauchy_deg2_Ni_full,Ni,poly_deg2,tight,8,-0.0026211123394997695,0.00031489861492867106,3.0000004631269396e-07,69.81164664739745,
tight_cauchy_deg2_Ni_blue,Ni,poly_deg2,tight,4,-0.0009621110180568993,0.00041112623569695186,3.0000000012273077e-07,7.651503606434367e-05,
tight_cauchy_deg2_Ni_red,Ni,poly_deg2,tight,4,-0.010593552824046667,0.0013583647622089758,3.000003529545434e-07,0.06483889658996432,
tight_cauchy_deg2_both_full,both,poly_deg2,tight,18,-0.000534376777995873,7.432639481765621e-05,3.0000004993503856e-07,163.69614759536873,
tight_cauchy_deg2_both_blue,both,poly_deg2,tight,9,-0.0005751424990115503,0.0001685157716501648,3.0000020077099525e-07,495.4704220773925,
tight_cauchy_deg2_both_red,both,poly_deg2,tight,9,-0.0012180492204513873,0.00021200631843402138,3.000000048498663e-07,26.18993379269933,
tight_linear_deg0_Fe_full,Fe,poly_deg0,tight,10,-0.001627330953410115,0.000987293939500409,4.426306480811295e-05,1.427087085280061,
tight_linear_deg0_Fe_blue,Fe,poly_deg0,tight,5,-0.0021497462510416815,0.0015606737505581638,4.3833738122705256e-05,4.101970210924555,
tight_linear_deg0_Fe_red,Fe,poly_deg0,tight,5,-0.0009203449889527937,0.0006430842500074887,2.057594683613147e-05,2.531195413236755,
tight_linear_deg0_Ni_full,Ni,poly_deg0,tight,8,0.00012952688834745528,0.0010627735084501242,5.034221242714321e-05,1.6079344873359827,
tight_linear_deg0_Ni_blue,Ni,poly_deg0,tight,4,-0.001508858592361023,0.0020041563718163355,5.5288710406271044e-05,3.97904554066918,
tight_linear_deg0_Ni_red,Ni,poly_deg0,tight,4,-0.001330192689733853,0.0004476087089035823,9.197209451517586e-06,3.612563331080529,
tight_linear_deg0_both_full,both,poly_deg0,tight,18,-0.0007168422130759269,0.0007426920938511023,4.900477359642667e-05,1.2016247912429134,
tight_linear_deg0_both_blue,both,poly_deg0,tight,9,-0.0007199754279946672,0.001347926385714162,5.937682949595991e-05,1.4966240381641314,
tight_linear_deg0_both_red,both,poly_deg0,tight,9,-0.0007034500886565166,0.0004245890987689463,2.0518865170754837e-05,1.5574264193701508,
tight_linear_deg1_Fe_full,Fe,poly_deg1,tight,10,-0.001700660534766374,0.00010342888105627041,3.0000001960028537e-07,121.15828695249685,
tight_linear_deg1_Fe_blue,Fe,poly_deg1,tight,5,-0.0009142378173201966,0.00020028749827633662,3.000000449300536e-07,530.4275884768972,
tight_linear_deg1_Fe_red,Fe,poly_deg1,tight,5,-0.0009876442435942207,0.00019283734001947323,3.000000039891441e-07,74.59970122851652,
tight_linear_deg1_Ni_full,Ni,poly_deg1,tight,8,-0.0029909590821137967,0.0002703095197843003,3.0000002589571243e-07,53.764687048025905,
tight_linear_deg1_Ni_blue,Ni,poly_deg1,tight,4,-0.0021477860677786083,0.00040164323003712827,3.0000001984137096e-07,181.6972146230823,
tight_linear_deg1_Ni_red,Ni,poly_deg1,tight,4,-0.008390805340127634,0.0011083832182999826,3.0000027582105517e-07,7.2287809859979735,
tight_linear_deg1_both_full,both,poly_deg1,tight,18,-0.0006521858425913638,0.0007000091185205025,4.605996914129564e-05,1.2867294009411336,
tight_linear_deg1_both_blue,both,poly_deg1,tight,9,-0.0014951807098371058,0.0016685960787597772,5.762284509890577e-05,1.793789553061351,
tight_linear_deg1_both_red,both,poly_deg1,tight,9,-0.0009070956452477802,0.00010106801192317203,3.0000000206898887e-07,21.51724538656173,
tight_linear_deg2_Fe_full,Fe,poly_deg2,tight,10,-0.0003966013324197612,0.00013005519549296485,3.000000120490315e-07,92.13079766723465,
tight_linear_deg2_Fe_blue,Fe,poly_deg2,tight,5,-0.002527176893446667,0.00021183325446098768,3.0000001019360364e-07,5.317750366711215,
tight_linear_deg2_Fe_red,Fe,poly_deg2,tight,5,-0.0013607969450473813,0.00024063169791175128,3.000000060768113e-07,68.14096575379074,
tight_linear_deg2_Ni_full,Ni,poly_deg2,tight,8,-0.0026211123394997695,0.00031489861492867106,3.0000004631269396e-07,69.81164664739745,
tight_linear_deg2_Ni_blue,Ni,poly_deg2,tight,4,-0.0009621110180568993,0.00041112623569695186,3.0000000012273077e-07,7.651503606434367e-05,
tight_linear_deg2_Ni_red,Ni,poly_deg2,tight,4,-0.010593552824046667,0.0013583647622089758,3.000003529545434e-07,0.06483889658996432,
tight_linear_deg2_both_full,both,poly_deg2,tight,18,-0.000534376777995873,7.432639481765621e-05,3.0000004993503856e-07,163.69614759536873,
tight_linear_deg2_both_blue,both,poly_deg2,tight,9,-0.0005751424990115503,0.0001685157716501648,3.0000020077099525e-07,495.4704220773925,
tight_linear_deg2_both_red,both,poly_deg2,tight,9,-0.0012180492204513873,0.00021200631843402138,3.000000048498663e-07,26.18993379269933,
