line_id,delta_alpha,sigma
line_0001,-0.0010657284505741509,0.0006833415005073899
line_0010,-0.0005473458500786444,0.0006810920743549509
line_0017,-0.0005294294126346317,0.0007804818130087274
line_0029,-0.00045701385236922656,0.0006890234117964766
line_0074,-0.00026495608039024703,7.38211408210435e-05
line_0107,-0.00037424623482040813,7.264897071625353e-05
line_0119,7.410372412691114e-05,7.414768219805572e-05
line_0124,-0.0007443858406330449,0.0007136848812838812
line_0128,-0.0008917278033198713,0.0007269351802406953
line_0138,-0.000809025127575978,0.0007922803584503657
line_0179,-0.0007177548355033712,0.0007307296355150924
line_0185,-0.0003528062186339486,7.259593550867665e-05
line_0296,-0.0006390050398772311,0.0007410952379681329
line_0300,-0.0007394579137093068,0.000718861510383435
line_0303,-0.00021852083735153893,7.556602734607304e-05
line_0327,-0.0007004074450259914,0.0008351989505015325
line_0330,-0.0005579651332028721,0.0007252968341873603
line_0340,-0.0002857061929443336,7.724663740063e-05
