species,lambda0_ang,sigma_lambda0_ang,q_cm-1,sigma_q_cm-1,lambda0_source,join_flag,nist_wavelength_ang,lower_level,upper_level,Aki_s-1,fik,q_cm1,line_id,lambda0_unc_ang
Ni V,1336.16,0.002,2944,,Lee2025_2410.01849,OK,1336.161,3d5.(4G).4s 3G J=5,3d5.(4G).4p 3H* J=6,11500000000.0,0.279,2944,line_0130,0.002
Fe V,1337.2869,0.004,2724,,Hu2021_table,OK,1337.287,3d3.(2P).4s 3P J=1,3d3.(2D2).4p 3D* J=2,400000000.0,0.035,2724,line_0131,0.004
Fe V,1338.8076,0.004,2389,,Hu2021_table,OK,1338.808,3d3.(2D2).4s 3D J=3,3d3.(2D2).4p 1F* J=3,742000000.0,0.029,2389,line_0132,0.004
Ni V,1339.065,0.01,3308,,Lee2025_2410.01849,OK,1339.07,3d5.(4D).4s 3D J=1,3d5.(4D).4p 3D* J=2,905000000.0,0.0811,3308,line_0133,0.01
Fe V,1339.69,0.004,3128,,Hu2021_table,OK,1339.691,3d3.(2F).4s 3F J=2,3d3.(2F).4p 3D* J=1,2900000000.0,0.16,3128,line_0134,0.004
Ni V,1340.353,0.002,3092,,Lee2025_2410.01849,OK,1340.353,3d5.(4D).4s 3D J=2,3d5.(4D).4p 3D* J=2,2000000000.0,0.108,3092,line_0135,0.002
Ni V,1341.068,0.002,3093,,Lee2025_2410.01849,OK,1341.068,3d5.(4D).4s 5D J=4,3d5.(4P).4p 5P* J=3,2470000000.0,0.0741,3093,line_0136,0.002
Ni V,1342.18,0.002,3283,,Lee2025_2410.01849,OK,1342.179,3d5.(4G).4s 3G J=5,3d5.(4G).4p 3F* J=4,6870000000.0,0.169,3283,line_0137,0.002
Ni V,1343.896,0.002,3758,,Lee2025_2410.01849,OK,1343.898,3d5.(2H).4s 3H J=4,3d5.(2G2).4p 3H* J=4,3520000000.0,0.106,3758,line_0138,0.002
Fe V,1350.5374,0.004,3306,,Hu2021_table,OK,1350.535,3d3.(4P).4s 3P J=1,3d3.(4P).4p 3D* J=2,1400000000.0,0.127,3306,line_0139,0.004
Fe V,1350.6724,0.004,3254,,Hu2021_table,OK,1350.677,3d3.(4P).4s 3P J=1,3d3.(4P).4p 3D* J=1,190000000.0,0.017,3254,line_0140,0.004
Fe V,1350.9483,0.004,2998,,Hu2021_table,OK,1350.948,3d3.(4F).4s 5F J=3,3d3.(4F).4p 3D* J=3,64000000.0,0.0025,2998,line_0141,0.004
Ni V,1351.414,0.002,2187,,Lee2025_2410.01849,OK,1351.414,3d5.(4G).4s 3G J=3,3d5.(4G).4p 3F* J=2,3860000000.0,0.151,2187,line_0142,0.002
Fe V,1351.7563,0.004,3437,,Hu2021_table,OK,1351.755,3d3.(4F).4s 5F J=1,3d3.(4F).4p 3D* J=2,300000000.0,0.028,3437,line_0143,0.004
Fe V,1355.6223,0.004,2385,,Hu2021_table,OK,1355.624,3d3.(2G).4s 3G J=3,3d3.(2P).4p 1D* J=2,470000000.0,0.018,2385,line_0144,0.004
Fe V,1356.2369,0.004,3434,,Hu2021_table,OK,1356.232,3d3.(2G).4s 3G J=3,3d3.(2G).4p 1F* J=3,70000000.0,0.0026,3434,line_0145,0.004
Fe V,1357.1121,0.004,3107,,Hu2021_table,OK,1357.114,3d3.(4F).4s 5F J=2,3d3.(4F).4p 3D* J=2,360000000.0,0.02,3107,line_0146,0.004
Fe V,1357.676,0.004,2170,,Hu2021_table,OK,1357.675,3d3.(2F).4s 3F J=4,3d3.(2F).4p 3D* J=3,5200000000.0,0.16,2170,line_0147,0.004
Fe V,1357.8549,0.004,3657,,Hu2021_table,OK,1357.857,3d3.(4P).4s 3P J=0,3d3.(2P).4p 3S* J=1,120000000.0,0.032,3657,line_0148,0.004
Fe V,1358.384,0.004,2416,,Hu2021_table,OK,1358.386,3d3.(2F).4s 3F J=2,3d3.(2F).4p 1D* J=2,170000000.0,0.0094,2416,line_0149,0.004
Fe V,1358.5646,0.004,3201,,Hu2021_table,OK,1358.567,3d3.(2D2).4s 3D J=1,3d3.(2D2).4p 3D* J=2,850000000.0,0.078,3201,line_0150,0.004
Fe V,1359.006,0.004,3043,,Hu2021_table,OK,1359.006,3d3.(2D1).4s 3D J=3,3d3.(2D1).4p 3F* J=4,9000000000.0,0.36,3043,line_0151,0.004
Fe V,1359.4034,0.004,3290,,Hu2021_table,OK,1359.406,3d3.(4F).4s 5F J=1,3d3.(4F).4p 5F* J=1,780000000.0,0.073,3290,line_0152,0.004
Fe V,1361.444,0.004,2521,,Hu2021_table,OK,1361.447,3d3.(2F).4s 1F J=3,3d3.(2F).4p 1G* J=4,7400000000.0,0.29,2521,line_0153,0.004
Fe V,1361.828,0.007,3100,,Hu2021_table,OK,1361.825,3d3.(2F).4s 3F J=4,3d3.(2F).4p 3G* J=5,10000000000.0,0.32,3100,line_0154,0.007
Fe V,1362.8639,0.004,2361,,Hu2021_table,OK,1362.864,3d3.(2D2).4s 3D J=3,3d3.(2D2).4p 3D* J=3,3500000000.0,0.14,2361,line_0155,0.004
Fe V,1363.0758,0.004,3504,,Hu2021_table,OK,1363.077,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5F* J=4,2300000000.0,0.092,3504,line_0156,0.004
Fe V,1363.6431,0.004,3206,,Hu2021_table,OK,1363.642,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5F* J=5,1900000000.0,0.058,3206,line_0157,0.004
Fe V,1364.8201,0.004,2960,,Hu2021_table,OK,1364.824,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5F* J=1,780000000.0,0.044,2960,line_0158,0.004
Fe V,1365.1143,0.004,2613,,Hu2021_table,OK,1365.115,3d3.(4F).4s 5F J=3,3d3.(4F).4p 3D* J=2,1200000000.0,0.047,2613,line_0159,0.004
Fe V,1365.5742,0.004,4562,,Hu2021_table,OK,1365.571,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5F* J=3,1900000000.0,0.107,4562,line_0160,0.004
Fe V,1370.3038,0.004,1606,,Hu2021_table,OK,1370.303,3d3.(2H).4s 3H J=6,3d3.(2H).4p 1H* J=5,660000000.0,0.014,1606,line_0161,0.004
Fe V,1371.2188,0.004,2272,,Hu2021_table,OK,1371.217,3d3.(2G).4s 3G J=4,3d3.(2G).4p 1G* J=4,400000000.0,0.013,2272,line_0162,0.004
Fe V,1371.9858,0.004,2311,,Hu2021_table,OK,1371.987,3d3.(2D2).4s 3D J=1,3d3.(2D2).4p 3D* J=1,1500000000.0,0.14,2311,line_0163,0.004
Fe V,1372.6536,0.004,2112,,Hu2021_table,OK,1372.651,3d3.(2D2).4s 3D J=3,3d3.(2D2).4p 3D* J=2,340000000.0,0.014,2112,line_0164,0.004
Fe V,1373.5868,0.004,2869,,Hu2021_table,OK,1373.587,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5F* J=4,6500000000.0,0.2,2869,line_0165,0.004
Fe V,1373.677,0.007,4068,,Hu2021_table,OK,1373.674,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5F* J=3,4800000000.0,0.2,4068,line_0166,0.007
Fe V,1373.9646,0.004,2065,,Hu2021_table,OK,1373.967,3d3.(4P).4s 3P J=2,3d3.(4P).4p 3D* J=3,2700000000.0,0.15,2065,line_0167,0.004
Fe V,1374.118,0.004,2569,,Hu2021_table,OK,1374.116,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3G* J=4,8100000000.0,0.33,2569,line_0168,0.004
Fe V,1375.7851,0.004,3100,,Hu2021_table,OK,1375.784,3d3.(2H).4s 3H J=5,3d3.(2H).4p 1G* J=4,380000000.0,0.0097,3100,line_0169,0.004
Fe V,1376.3367,0.004,2442,,Hu2021_table,OK,1376.337,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5F* J=5,8600000000.0,0.222,2442,line_0170,0.004
Fe V,1376.4511,0.004,3575,,Hu2021_table,OK,1376.455,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5F* J=2,3400000000.0,0.19,3575,line_0171,0.004
Fe V,1378.562,0.004,3217,,Hu2021_table,OK,1378.56,3d3.(4P).4s 5P J=3,3d3.(4P).4p 5D* J=4,8600000000.0,0.35,3217,line_0172,0.004
Fe V,1379.2046,0.004,1763,,Hu2021_table,OK,1379.206,3d3.(4P).4s 3P J=2,3d3.(2D2).4p 3F* J=2,170000000.0,0.0096,1763,line_0173,0.004
Fe V,1380.114,0.004,3200,,Hu2021_table,OK,1380.112,3d3.(4F).4s 5F J=1,3d3.(4F).4p 5D* J=1,2000000000.0,0.19,3200,line_0174,0.004
Fe V,1382.5606,0.004,2955,,Hu2021_table,OK,1382.56,3d3.(2P).4s 3P J=2,3d3.(4P).4p 3D* J=1,96000000.0,0.0056,2955,line_0175,0.004
Fe V,1384.0585,0.004,2887,,Hu2021_table,OK,1384.055,3d3.(2P).4s 3P J=1,3d3.(4P).4p 3D* J=2,585000000.0,0.056,2887,line_0176,0.004
Fe V,1384.2003,0.004,2835,,Hu2021_table,OK,1384.201,3d3.(2P).4s 3P J=1,3d3.(4P).4p 3D* J=1,510000000.0,0.048,2835,line_0177,0.004
Fe V,1384.6837,0.004,3081,,Hu2021_table,OK,1384.688,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5F* J=2,220000000.0,0.0089,3081,line_0178,0.004
Fe V,1385.312,0.004,3108,,Hu2021_table,OK,1385.313,3d3.(4F).4s 5F J=1,3d3.(4F).4p 5D* J=0,930000000.0,0.089,3108,line_0179,0.004
Fe V,1386.467,0.004,2105,,Hu2021_table,OK,1386.467,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5F* J=4,62000000.0,0.0016,2105,line_0180,0.004
Fe V,1388.0401,0.004,3359,,Hu2021_table,OK,1388.04,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3F* J=3,250000000.0,0.015,3359,line_0181,0.004
Fe V,1388.1938,0.004,3543,,Hu2021_table,OK,1388.195,3d3.(4P).4s 5P J=1,3d3.(4P).4p 3P* J=1,1100000000.0,0.109,3543,line_0182,0.004
Fe V,1388.3235,0.004,3033,,Hu2021_table,OK,1388.328,3d3.(4P).4s 5P J=1,3d3.(4P).4p 5D* J=2,2000000000.0,0.19,3033,line_0183,0.004
Fe V,1389.0048,0.004,2922,,Hu2021_table,OK,1389.0,3d3.(2G).4s 3G J=3,3d3.(2G).4p 3F* J=3,2000000000.0,0.081,2922,line_0184,0.004
Fe V,1390.7138,0.004,2769,,Hu2021_table,OK,1390.713,3d3.(2P).4s 3P J=2,3d3.(4P).4p 3D* J=3,360000000.0,0.021,2769,line_0185,0.004
Ni V,1390.917,0.006,3877,,Lee2025_2410.01849,OK,1390.919,3d5.(4P).4s 3P J=2,3d5.(4P).4p 3P* J=2,2060000000.0,0.119,3877,line_0186,0.006
Fe V,1390.969,0.004,2657,,Hu2021_table,OK,1390.972,3d3.(2D2).4s 1D J=2,3d3.(2H).4p 3G* J=3,410000000.0,0.023,2657,line_0187,0.004
Fe V,1392.2725,0.004,2392,,Hu2021_table,OK,1392.269,3d3.(4P).4s 3P J=2,3d3.(2P).4p 3D* J=3,420000000.0,0.024,2392,line_0188,0.004
Fe V,1392.94,0.004,3334,,Hu2021_table,OK,1392.941,3d3.(4P).4s 5P J=2,3d3.(4P).4p 3P* J=1,140000000.0,0.0079,3334,line_0189,0.004
Fe V,1393.0706,0.004,2824,,Hu2021_table,OK,1393.073,3d3.(4P).4s 5P J=2,3d3.(4P).4p 5D* J=2,1300000000.0,0.074,2824,line_0190,0.004
Fe V,1394.2712,0.004,2697,,Hu2021_table,OK,1394.272,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3F* J=3,3200000000.0,0.105,2697,line_0191,0.004
Fe V,1394.6013,0.004,2555,,Hu2021_table,OK,1394.599,3d3.(4P).4s 5P J=1,3d3.(4P).4p 5D* J=0,480000000.0,0.046,2555,line_0192,0.004
Fe V,1394.6686,0.004,3206,,Hu2021_table,OK,1394.665,3d3.(2G).4s 3G J=3,3d3.(2G).4p 3F* J=2,2800000000.0,0.119,3206,line_0193,0.004
Fe V,1395.4411,0.004,3104,,Hu2021_table,OK,1395.442,3d3.(2P).4s 3P J=2,3d3.(2P).4p 3S* J=1,390000000.0,0.023,3104,line_0194,0.004
Fe V,1397.7545,0.004,2347,,Hu2021_table,OK,1397.753,3d3.(2P).4s 3P J=1,3d3.(2D2).4p 3F* J=2,525000000.0,0.051,2347,line_0195,0.004
Fe V,1397.973,0.004,2215,,Hu2021_table,OK,1397.972,3d3.(4P).4s 5P J=3,3d3.(4P).4p 5D* J=3,1500000000.0,0.062,2215,line_0196,0.004
Fe V,1398.1624,0.004,2172,,Hu2021_table,OK,1398.166,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5D* J=3,71400000.0,0.003,2172,line_0197,0.004
Fe V,1401.5384,0.004,2618,,Hu2021_table,OK,1401.535,3d3.(2P).4s 3P J=1,3d3.(2D2).4p 1P* J=1,90000000.0,0.0089,2618,line_0198,0.004
Fe V,1404.0438,0.004,2128,,Hu2021_table,OK,1404.048,3d3.(4P).4s 5P J=3,3d3.(4P).4p 5D* J=2,95000000.0,0.0041,2128,line_0199,0.004
Fe V,1404.2589,0.004,1970,,Hu2021_table,OK,1404.26,3d3.(4P).4s 3P J=0,3d3.(2P).4p 3D* J=1,630000000.0,0.18,1970,line_0200,0.004
Fe V,1406.671,0.004,2222,,Hu2021_table,OK,1406.669,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3F* J=4,7600000000.0,0.252,2222,line_0201,0.004
Fe V,1406.822,0.004,2157,,Hu2021_table,OK,1406.824,3d3.(2D2).4s 3D J=3,3d3.(2D2).4p 3F* J=4,7100000000.0,0.3,2157,line_0202,0.004
Fe V,1407.0098,0.004,3312,,Hu2021_table,OK,1407.007,3d3.(2D2).4s 3D J=1,3d3.(4P).4p 3D* J=1,390000000.0,0.038,3312,line_0203,0.004
Fe V,1407.247,0.004,2471,,Hu2021_table,OK,1407.246,3d3.(2H).4s 1H J=5,3d3.(2H).4p 1I* J=6,12000000000.0,0.32,2471,line_0204,0.004
Fe V,1407.564,0.004,2209,,Hu2021_table,OK,1407.568,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3I* J=6,90000000.0,0.002,2209,line_0205,0.004
Fe V,1408.119,0.004,1343,,Hu2021_table,OK,1408.117,3d3.(4F).4s 5F J=2,3d3.(4F).4p 3D* J=1,1300000000.0,0.078,1343,line_0206,0.004
Fe V,1408.7993,0.004,2823,,Hu2021_table,OK,1408.801,3d3.(2H).4s 1H J=5,3d3.(2H).4p 3G* J=5,600000000.0,0.017,2823,line_0207,0.004
Fe V,1409.0254,0.004,1409,,Hu2021_table,OK,1409.026,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5D* J=2,3200000000.0,0.133,1409,line_0208,0.004
Fe V,1409.2236,0.004,1537,,Hu2021_table,OK,1409.22,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5D* J=3,5400000000.0,0.18,1537,line_0209,0.004
Fe V,1409.451,0.004,1628,,Hu2021_table,OK,1409.451,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5D* J=4,7800000000.0,0.213,1628,line_0210,0.004
Fe V,1409.7226,0.004,1716,,Hu2021_table,OK,1409.723,3d3.(4P).4s 3P J=1,3d3.(2P).4p 3D* J=1,312000000.0,0.031,1716,line_0211,0.004
Fe V,1409.8484,0.004,2845,,Hu2021_table,OK,1409.846,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3G* J=5,1900000000.0,0.063,2845,line_0212,0.004
Fe V,1411.0703,0.004,3620,,Hu2021_table,OK,1411.069,3d3.(4P).4s 3P J=1,3d3.(2D2).4p 3P* J=2,160000000.0,0.016,3620,line_0213,0.004
Fe V,1411.5675,0.004,1609,,Hu2021_table,OK,1411.566,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3F* J=4,2700000000.0,0.074,1609,line_0214,0.004
Fe V,1414.832,0.004,1764,,Hu2021_table,OK,1414.832,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3F* J=2,700000000.0,0.03,1764,line_0215,0.004
Fe V,1416.2196,0.004,2396,,Hu2021_table,OK,1416.219,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 1F* J=3,4300000000.0,0.26,2396,line_0216,0.004
Fe V,1416.829,0.004,2137,,Hu2021_table,OK,1416.832,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3I* J=5,50000000.0,0.0014,2137,line_0217,0.004
Fe V,1417.003,0.004,2427,,Hu2021_table,OK,1417.001,3d3.(2D2).4s 3D J=3,3d3.(2P).4p 3F* J=3,320000000.0,0.014,2427,line_0218,0.004
Fe V,1418.1223,0.004,2433,,Hu2021_table,OK,1418.123,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3G* J=5,6600000000.0,0.18,2433,line_0219,0.004
Fe V,1420.418,0.01,1509,,Hu2021_table,OK,1420.419,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3F* J=3,805000000.0,0.027,1509,line_0220,0.01
Fe V,1420.6049,0.004,2368,,Hu2021_table,OK,1420.602,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3G* J=4,4000000000.0,0.132,2368,line_0221,0.004
Fe V,1420.7486,0.004,2799,,Hu2021_table,OK,1420.749,3d3.(2P).4s 3P J=2,3d3.(2P).4p 3D* J=2,440000000.0,0.027,2799,line_0222,0.004
Fe V,1421.0167,0.004,2824,,Hu2021_table,OK,1421.016,3d3.(2D2).4s 3D J=1,3d3.(2D2).4p 3F* J=2,950000000.0,0.094,2824,line_0223,0.004
Fe V,1421.9775,0.004,2275,,Hu2021_table,OK,1421.981,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 3D* J=2,55000000.0,0.0024,2275,line_0224,0.004
Fe V,1422.4802,0.004,2679,,Hu2021_table,OK,1422.481,3d3.(2P).4s 3P J=1,3d3.(2P).4p 3D* J=2,1600000000.0,0.16,2679,line_0225,0.004
Fe V,1425.0834,0.004,1372,,Hu2021_table,OK,1425.088,3d3.(4P).4s 5P J=2,3d3.(4P).4p 5D* J=1,480000000.0,0.029,1372,line_0226,0.004
Fe V,1426.4346,0.004,713,,Hu2021_table,OK,1426.432,3d3.(4P).4s 3P J=2,3d3.(2P).4p 3D* J=1,17000000.0,0.001,713,line_0227,0.004
Fe V,1427.8145,0.004,2617,,Hu2021_table,OK,1427.815,3d3.(4P).4s 3P J=2,3d3.(2D2).4p 3P* J=2,420000000.0,0.026,2617,line_0228,0.004
Fe V,1429.0058,0.004,1956,,Hu2021_table,OK,1429.004,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3G* J=4,2000000000.0,0.055,1956,line_0229,0.004
Fe V,1429.33,0.004,2362,,Hu2021_table,OK,1429.33,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 3P* J=1,78000000.0,0.0048,2362,line_0230,0.004
Fe V,1429.4691,0.004,1730,,Hu2021_table,OK,1429.472,3d3.(2G).4s 3G J=3,3d3.(2G).4p 3G* J=3,3600000000.0,0.16,1730,line_0231,0.004
Fe V,1430.313,0.004,2449,,Hu2021_table,OK,1430.309,3d3.(2F).4s 1F J=3,3d3.(2F).4p 1D* J=2,3200000000.0,0.14,2449,line_0232,0.004
Fe V,1430.573,0.004,3207,,Hu2021_table,OK,1430.573,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=6,11000000000.0,0.32,3207,line_0233,0.004
Fe V,1430.7552,0.004,2037,,Hu2021_table,OK,1430.751,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 3D* J=3,1800000000.0,0.077,2037,line_0234,0.004
Fe V,1431.8875,0.004,1062,,Hu2021_table,OK,1431.891,3d3.(4P).4s 5P J=3,3d3.(4P).4p 3P* J=2,160000000.0,0.0072,1062,line_0235,0.004
Fe V,1435.0474,0.004,1505,,Hu2021_table,OK,1435.046,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3G* J=3,1500000000.0,0.05,1505,line_0236,0.004
Fe V,1440.529,0.004,2780,,Hu2021_table,OK,1440.528,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=5,7900000000.0,0.273,2780,line_0237,0.004
Fe V,1440.7939,0.004,2674,,Hu2021_table,OK,1440.792,3d3.(4P).4s 5P J=1,3d3.(4P).4p 5P* J=2,1600000000.0,0.16,2674,line_0238,0.004
Fe V,1442.2167,0.004,2897,,Hu2021_table,OK,1442.221,3d3.(2G).4s 1G J=4,3d3.(2G).4p 1H* J=5,7200000000.0,0.25,2897,line_0239,0.004
Fe V,1443.1662,0.004,2368,,Hu2021_table,OK,1443.163,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 3D* J=3,390000000.0,0.025,2368,line_0240,0.004
Fe V,1446.286,0.004,1297,,Hu2021_table,OK,1446.285,3d3.(2P).4s 3P J=1,3d3.(2P).4p 3D* J=1,357000000.0,0.037,1297,line_0241,0.004
Fe V,1447.7045,0.004,3201,,Hu2021_table,OK,1447.709,3d3.(2P).4s 3P J=1,3d3.(2D2).4p 3P* J=2,480000000.0,0.05,3201,line_0242,0.004
Fe V,1448.8487,0.004,2406,,Hu2021_table,OK,1448.846,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5G* J=4,5700000000.0,0.26,2406,line_0243,0.004
Fe V,1449.929,0.004,2535,,Hu2021_table,OK,1449.928,3d3.(2F).4s 3F J=4,3d3.(2F).4p 3F* J=4,7100000000.0,0.25,2535,line_0244,0.004
Fe V,1451.102,0.004,2103,,Hu2021_table,OK,1451.103,3d3.(4P).4s 5P J=1,3d3.(4P).4p 5P* J=1,540000000.0,0.058,2103,line_0245,0.004
Fe V,1451.266,0.004,1997,,Hu2021_table,OK,1451.264,3d3.(2D1).4s 3D J=2,3d3.(2D1).4p 3D* J=1,780000000.0,0.049,1997,line_0246,0.004
Fe V,1453.616,0.004,1667,,Hu2021_table,OK,1453.618,3d3.(2H).4s 1H J=5,3d3.(2H).4p 1H* J=5,6700000000.0,0.19,1667,line_0247,0.004
Fe V,1454.241,0.004,1880,,Hu2021_table,OK,1454.243,3d3.(2D1).4s 3D J=1,3d3.(2D1).4p 3D* J=1,1600000000.0,0.17,1880,line_0248,0.004
Fe V,1454.47,0.004,2372,,Hu2021_table,OK,1454.471,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=4,33000000.0,0.0015,2372,line_0249,0.004
Fe V,1454.702,0.004,2016,,Hu2021_table,OK,1454.701,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=5,1450000000.0,0.042,2016,line_0250,0.004
Fe V,1455.557,0.004,2598,,Hu2021_table,OK,1455.559,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3G* J=3,5100000000.0,0.33,2598,line_0251,0.004
Fe V,1455.712,0.004,2133,,Hu2021_table,OK,1455.707,3d3.(2H).4s 3H J=4,3d3.(2P).4p 3D* J=3,,,2133,line_0252,0.004
Fe V,1456.1622,0.004,2067,,Hu2021_table,OK,1456.161,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5G* J=3,4100000000.0,0.26,2067,line_0253,0.004
Fe V,1456.289,0.004,1894,,Hu2021_table,OK,1456.285,3d3.(4P).4s 5P J=2,3d3.(4P).4p 5P* J=1,1900000000.0,0.122,1894,line_0254,0.004
Fe V,1459.256,0.004,2088,,Hu2021_table,OK,1459.254,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=3,4600000000.0,0.21,2088,line_0255,0.004
Fe V,1459.833,0.004,2416,,Hu2021_table,OK,1459.831,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3G* J=4,6600000000.0,0.3,2416,line_0256,0.004
Fe V,1460.7298,0.004,1771,,Hu2021_table,OK,1460.726,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=4,1800000000.0,0.063,1771,line_0257,0.004
Fe V,1461.054,0.004,2033,,Hu2021_table,OK,1461.05,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=2,650000000.0,0.029,2033,line_0258,0.004
Fe V,1462.5641,0.004,2067,,Hu2021_table,OK,1462.563,3d3.(2D2).4s 3D J=3,3d3.(2P).4p 3D* J=2,,,2067,line_0259,0.004
Fe V,1462.635,0.004,1750,,Hu2021_table,OK,1462.631,3d3.(4F).4s 5F J=1,3d3.(4F).4p 5G* J=2,3000000000.0,0.32,1750,line_0260,0.004
Fe V,1463.065,0.004,1941,,Hu2021_table,OK,1463.067,3d3.(2F).4s 3F J=2,3d3.(2F).4p 3F* J=3,74200000.0,0.0048,1941,line_0261,0.004
Fe V,1464.2202,0.004,851,,Hu2021_table,OK,1464.224,3d3.(4P).4s 3P J=2,3d3.(2P).4p 3P* J=1,110000000.0,0.0073,851,line_0262,0.004
Fe V,1464.685,0.004,2232,,Hu2021_table,OK,1464.683,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3G* J=5,7900000000.0,0.282,2232,line_0263,0.004
Fe V,1464.873,0.004,1886,,Hu2021_table,OK,1464.876,3d3.(2F).4s 3F J=2,3d3.(2F).4p 3F* J=2,3200000000.0,0.2,1886,line_0264,0.004
Fe V,1466.6498,0.004,2212,,Hu2021_table,OK,1466.649,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3H* J=5,5400000000.0,0.19,2212,line_0265,0.004
Fe V,1468.908,0.004,1420,,Hu2021_table,OK,1468.911,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5G* J=2,1000000000.0,0.064,1420,line_0266,0.004
Fe V,1469.0,0.004,2431,,Hu2021_table,OK,1469.0,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3H* J=6,7900000000.0,0.196,2431,line_0267,0.004
Fe V,1469.5986,0.004,3313,,Hu2021_table,OK,1469.599,3d3.(2P).4s 3P J=2,3d3.(2G).4p 1F* J=3,200000000.0,0.013,3313,line_0268,0.004
Fe V,1471.2059,0.004,1774,,Hu2021_table,OK,1471.205,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3D* J=1,220000000.0,0.024,1774,line_0269,0.004
Fe V,1471.334,0.004,1754,,Hu2021_table,OK,1471.331,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3G* J=3,250000000.0,0.0116,1754,line_0270,0.004
Fe V,1472.098,0.004,2264,,Hu2021_table,OK,1472.098,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3H* J=5,6500000000.0,0.19,2264,line_0271,0.004
Fe V,1472.5116,0.004,2576,,Hu2021_table,OK,1472.512,3d3.(2H).4s 3H J=4,3d3.(2H).4p 3H* J=4,5400000000.0,0.2,2576,line_0272,0.004
Fe V,1472.805,0.004,2349,,Hu2021_table,OK,1472.805,3d3.(2P).4s 3P J=2,3d3.(4P).4p 5S* J=2,400000000.0,0.026,2349,line_0273,0.004
Fe V,1474.2722,0.004,3111,,Hu2021_table,OK,1474.275,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3H* J=4,500000000.0,0.015,3111,line_0274,0.004
Fe V,1475.305,0.004,1007,,Hu2021_table,OK,1475.302,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=4,67000000.0,0.002,1007,line_0275,0.004
Fe V,1475.6059,0.004,1800,,Hu2021_table,OK,1475.604,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3H* J=5,1800000000.0,0.052,1800,line_0276,0.004
Fe V,1477.534,0.004,938,,Hu2021_table,OK,1477.536,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=3,98000000.0,0.0037,938,line_0277,0.004
Fe V,1477.7992,0.004,2048,,Hu2021_table,OK,1477.798,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3H* J=5,550000000.0,0.014,2048,line_0278,0.004
Fe V,1478.287,0.004,926,,Hu2021_table,OK,1478.288,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5G* J=2,80000000.0,0.0036,926,line_0279,0.004
