species,lambda0_ang,sigma_lambda0_ang,q_cm-1,sigma_q_cm-1,lambda0_source,join_flag,nist_wavelength_ang,lower_level,upper_level,Aki_s-1,fik,q_cm1,line_id,lambda0_unc_ang
Ni V,1244.788,0.004,3512,,Lee2025_2410.01849,OK,1244.792,3d5.(2I).4s 3I J=6,3d5.(2I).4p 1K* J=7,1220000000.0,0.0218,3512,line_0028,0.004
Ni V,1246.365,0.005,3457,,Lee2025_2410.01849,OK,1246.362,3d5.(2D3).4s 3D J=2,3d5.(4F).4p 5G* J=3,442000000.0,0.0206,3457,line_0029,0.005
Ni V,1246.549,0.005,2296,,Lee2025_2410.01849,OK,1246.544,3d5.(4D).4s 3D J=2,3d5.(4D).4p 3P* J=1,1390000000.0,0.0646,2296,line_0030,0.005
Ni V,1247.612,0.022,2707,,Lee2025_2410.01849,OK,1247.61,3d5.(4F).4s 3F J=3,3d5.(4F).4p 3F* J=3,3870000000.0,0.129,2707,line_0031,0.022
Ni V,1249.532,0.002,2831,,Lee2025_2410.01849,OK,1249.534,3d5.(4G).4s 5G J=5,3d5.(4G).4p 5F* J=4,5330000000.0,0.113,2831,line_0032,0.002
Fe V,1250.735,0.004,2380,,Hu2021_table,OK,1250.736,3d3.(2D1).4s 1D J=2,3d3.(2D1).4p 1P* J=1,3900000000.0,0.18,2380,line_0033,0.004
Ni V,1251.835,0.002,3583,,Lee2025_2410.01849,OK,1251.837,3d5.(4G).4s 3G J=5,3d5.(4G).4p 3G* J=5,11300000000.0,0.242,3583,line_0034,0.002
Ni V,1252.075,0.005,2727,,Lee2025_2410.01849,OK,1252.073,3d5.(2D3).4s 3D J=1,3d5.(4F).4p 5G* J=2,2000000000.0,0.157,2727,line_0035,0.005
Ni V,1252.281,0.004,3105,,Lee2025_2410.01849,OK,1252.282,3d5.(2I).4s 3I J=6,3d5.(2I).4p 3H* J=6,3940000000.0,0.0711,3105,line_0036,0.004
Ni V,1253.663,0.004,3570,,Lee2025_2410.01849,OK,1253.668,3d5.(4G).4s 3G J=4,3d5.(4G).4p 3G* J=4,5920000000.0,0.155,3570,line_0037,0.004
