line_id,species,lambda0_ang,lambda_obs,sigma_lambda_obs,depth,width,continuum_c0,continuum_c1,chi2_local,reduced_chi2_local,asymmetry,snr,window_contam,flags,n_components,join_flag,q_cm1,exclusion_reason,sensitivity,residual_z,residual_norm
line_0001,Ni V,1167.102,1167.3137469049273,0.007080050471761185,-0.2509168284856872,0.1430317217380286,1.1994747819592437,0.41483507747812426,443.44391244257685,2.956292749617179,0.46810796358877216,13.33492817450083,0.30788240180566373,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2415,,-0.056371026600000006,7.346148532301358e-05,12.109665995379896
line_0010,Ni V,1204.727,1204.7863890098768,0.00891229026405759,-0.16152419644851024,0.15167062882652627,1.0056101362953624,-0.0003854778059233717,256.2477346339824,1.708318230893216,0.2340749688632634,16.587602391959138,0.15443678169568095,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2833,,-0.06825983182,-6.2026934402677e-05,-8.384547673844816
line_0017,Ni V,1233.324,1233.4216720674658,0.002921597453389716,-0.2319114971920957,0.1340440687914257,1.0026659811269947,0.0021042486655143706,380.33049838323905,2.53553665588826,0.25671008593063854,30.070071896483704,0.11470358292553741,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,1995,,-0.0492096276,-1.6362216974495178e-05,-6.907151039729655
line_0029,Ni V,1246.365,1246.5914357763052,0.009717847732666185,-0.14577571312271753,0.19676953087181426,1.0182705838061947,0.018220967939263408,372.9557387482196,2.4863715916547973,-0.13569886702006187,20.475389919093423,0.11754299995742158,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,3457,,-0.08617367610000001,6.353758993339619e-05,8.149029543973985
line_0074,Ni V,1283.186,1283.2457676041674,0.007282890994492389,-0.17042692988720176,0.12089360473288234,1.001471094011516,-0.0030391263429275068,191.24288846068748,1.2749525897379166,-0.34903822818615465,19.697879425094513,0.12817252594326256,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2667,,-0.06844514124,-5.569524290895681e-05,-9.81304759626625
line_0107,Ni V,1315.668,1315.769456501628,0.004463068383986081,-0.2716235864251386,0.14529592702769345,1.006693763756565,-0.0029154519314169023,493.28837491770764,3.310660234347031,-0.27232482760881804,31.678628220387175,0.10937537175242394,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,3216,,-0.08462376576,-3.191308007735587e-05,-9.407657384293751
line_0119,Fe V,1323.0938,1323.3756938829051,0.0004055167674015255,-0.2439675820755055,0.02036531637706082,1.0570305957238466,0.11974751213338161,368.5632382872935,2.4570882552486233,0.2475335750646937,26.672628412789383,0.2779542145584676,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,3435,,-0.09089654406000001,0.00010080651539101312,328.90495840185645
line_0124,Fe V,1329.0215,1329.1970480579587,0.005350603452613562,-0.225108226608825,0.1217751534200472,1.006166785830172,-0.0002163050041212106,390.34008685397407,2.6022672456931604,-0.4726211400963054,25.50350677598893,0.11487649263410657,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2410,,-0.0640588363,3.8034212133405536e-05,9.447212096453525
line_0128,Ni V,1333.964,1334.0499114908887,0.001842186935968372,-0.24534875384733312,0.16293078463417474,1.015297625883227,0.005200023256079597,464.97936740250316,3.099862449350021,0.09281182069454239,22.820328406300987,0.15559458062414755,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,3464,,-0.09241702592,-4.756787433867896e-05,-34.444838732376596
line_0138,Ni V,1343.896,1344.0266719254635,0.0041050362057276565,-0.4147083570920572,0.11870125071994539,1.0077071331165768,0.0021149998095170677,373.20800577828606,2.4880533718552402,0.44273420525514373,31.520812641982907,0.11424887491199254,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,3758,,-0.10100722336,-1.917874562850059e-05,-6.2786875056539735
line_0179,Fe V,1385.312,1385.4249131434192,0.0038546117943791015,-0.24123280670770553,0.14062238228383475,1.001249341109107,0.007000406446375271,518.6874718591594,3.4579164790610624,-0.1738886858403189,16.595670325729422,0.2368831737318129,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,3108,,-0.08611099391999999,-2.0348475767520082e-05,-7.3130548979175325
line_0185,Fe V,1390.7138,1390.7606201647513,0.009425973219039619,-0.08207973413140268,0.1298719992571868,0.9980587733766604,-0.006907174633940488,174.79911564617026,1.165327437641135,0.4824786747773779,6.2472111237562995,0.3918019842433135,BLEND_SUSPECT;MULTI_MINIMA,2,OK,2769,,-0.077017730244,-6.162760948392034e-05,-9.092574843855882
line_0296,Fe V,1511.434,1511.5327007764042,0.00528138361375121,-0.08879791671650827,0.13840572652530647,1.0020201078996265,-0.000332997520772836,70.54043537180281,0.4702695691453521,0.08388944390660784,9.174014695390355,0.17497752539749148,BLEND_SUSPECT;MULTI_MINIMA,2,OK,1912,,-0.05779723616,-3.343879949237389e-06,-0.9569563994625111
line_0300,Fe V,1519.5178,1519.6744320531895,0.00971018551955169,-0.2873145874263844,0.11866711894664744,1.0051407623911264,0.0023959492046857866,236.40577344339852,1.5760384896226567,0.46096221691698175,23.01359730977408,0.11814647737357158,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2044,,-0.062117887664000004,3.2560599446339816e-05,5.095310520871261
line_0303,Fe V,1532.3289,1532.3854534165052,0.005796142135421817,-0.31606747497808096,0.1393528449442779,1.0093002227798336,-0.007443882032503407,407.05822491297124,2.7137214994198082,0.2779349039649516,25.82448436004311,0.11926051041136691,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,1900,,-0.05822849819999999,-2.9578469571551138e-05,-7.819674308066284
line_0327,Fe V,1599.84,1599.932107836237,0.006894255032781228,-0.4462721000448696,0.11622414783345447,1.0096829821218882,-0.0027870812480076416,292.68633510446557,1.9512422340297704,-0.49395542690600014,22.718825979358236,0.1285199724791498,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,1485,,-0.047515247999999996,5.966784345765871e-06,1.3846166441973258
line_0330,Fe V,1614.1888,1614.3517319674293,0.0077881969144963726,-0.30643082165207003,0.14830651214986573,1.0088902385053682,0.004697428354077533,176.85568556367434,1.179037903757829,-0.38828038780417945,14.526215456902689,0.13266408641725516,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2588,,-0.083550412288,2.750671755784595e-05,5.7010673836447925
