species,wavelength_aa,wavelength_unc_aa,q_cm1,wavenumber_cm1,q_unc_cm1,lower_level,upper_level,line_id
Fe V,1394.2712,0.004,2697,71722.05809027684,,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3F* J=3,Fe V_1394.2712
Fe V,1394.6013,0.004,2555,71705.0815885515,,3d3.(4P).4s 5P J=1,3d3.(4P).4p 5D* J=0,Fe V_1394.6013
Fe V,1394.6686,0.004,3206,71701.62144612706,,3d3.(2G).4s 3G J=3,3d3.(2G).4p 3F* J=2,Fe V_1394.6686
Fe V,1395.4411,0.004,3104,71661.92826053353,,3d3.(2P).4s 3P J=2,3d3.(2P).4p 3S* J=1,Fe V_1395.4411
Fe V,1397.7545,0.004,2347,71543.3218065118,,3d3.(2P).4s 3P J=1,3d3.(2D2).4p 3F* J=2,Fe V_1397.7545
Fe V,1397.973,0.004,2215,71532.13974804949,,3d3.(4P).4s 5P J=3,3d3.(4P).4p 5D* J=3,Fe V_1397.9730
Fe V,1398.1624,0.004,2172,71522.44975261815,,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5D* J=3,Fe V_1398.1624
Fe V,1401.5384,0.004,2618,71350.16778705457,,3d3.(2P).4s 3P J=1,3d3.(2D2).4p 1P* J=1,Fe V_1401.5384
Fe V,1404.0438,0.004,2128,71222.8493156695,,3d3.(4P).4s 5P J=3,3d3.(4P).4p 5D* J=2,Fe V_1404.0438
Fe V,1404.2589,0.004,1970,71211.93962167518,,3d3.(4P).4s 3P J=0,3d3.(2P).4p 3D* J=1,Fe V_1404.2589
Fe V,1406.671,0.004,2222,71089.82839626323,,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3F* J=4,Fe V_1406.6710
Fe V,1406.822,0.004,2157,71082.19803216044,,3d3.(2D2).4s 3D J=3,3d3.(2D2).4p 3F* J=4,Fe V_1406.8220
Fe V,1407.0098,0.004,3312,71072.71036776005,,3d3.(2D2).4s 3D J=1,3d3.(4P).4p 3D* J=1,Fe V_1407.0098
Fe V,1407.247,0.004,2471,71060.7306322202,,3d3.(2H).4s 1H J=5,3d3.(2H).4p 1I* J=6,Fe V_1407.2470
Fe V,1407.564,0.004,2209,71044.72691827867,,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3I* J=6,Fe V_1407.5640
Fe V,1408.119,0.004,1343,71016.72514893983,,3d3.(4F).4s 5F J=2,3d3.(4F).4p 3D* J=1,Fe V_1408.1190
Fe V,1408.7993,0.004,2823,70982.431635223,,3d3.(2H).4s 1H J=5,3d3.(2H).4p 3G* J=5,Fe V_1408.7993
Fe V,1409.0254,0.004,1409,70971.04140209254,,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5D* J=2,Fe V_1409.0254
Fe V,1409.2236,0.004,1537,70961.05969272726,,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5D* J=3,Fe V_1409.2236
Fe V,1409.451,0.004,1628,70949.61087685915,,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5D* J=4,Fe V_1409.4510
Fe V,1409.7226,0.004,1716,70935.94158169841,,3d3.(4P).4s 3P J=1,3d3.(2P).4p 3D* J=1,Fe V_1409.7226
Fe V,1409.8484,0.004,2845,70929.61200651077,,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3G* J=5,Fe V_1409.8484
Fe V,1411.0703,0.004,3620,70868.19132965947,,3d3.(4P).4s 3P J=1,3d3.(2D2).4p 3P* J=2,Fe V_1411.0703
Fe V,1411.5675,0.004,1609,70843.22924691875,,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3F* J=4,Fe V_1411.5675
Fe V,1414.832,0.004,1764,70679.76975358205,,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3F* J=2,Fe V_1414.8320
Fe V,1416.2196,0.004,2396,70610.51831227305,,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 1F* J=3,Fe V_1416.2196
Fe V,1416.829,0.004,2137,70580.14763955283,,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3I* J=5,Fe V_1416.8290
Fe V,1417.003,0.004,2427,70571.48079432436,,3d3.(2D2).4s 3D J=3,3d3.(2P).4p 3F* J=3,Fe V_1417.0030
Fe V,1418.1223,0.004,2433,70515.77991545582,,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3G* J=5,Fe V_1418.1223
Fe V,1420.418,0.01,1509,70401.81129780108,,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3F* J=3,Fe V_1420.4180
Fe V,1420.6049,0.004,2368,70392.54897684781,,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3G* J=4,Fe V_1420.6049
Fe V,1420.7486,0.004,2799,70385.42920260488,,3d3.(2P).4s 3P J=2,3d3.(2P).4p 3D* J=2,Fe V_1420.7486
Fe V,1421.0167,0.004,2824,70372.14974320852,,3d3.(2D2).4s 3D J=1,3d3.(2D2).4p 3F* J=2,Fe V_1421.0167
Fe V,1421.9775,0.004,2275,70324.60077603198,,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 3D* J=2,Fe V_1421.9775
Fe V,1422.4802,0.004,2679,70299.7482847213,,3d3.(2P).4s 3P J=1,3d3.(2P).4p 3D* J=2,Fe V_1422.4802
Fe V,1425.0834,0.004,1372,70171.33172697121,,3d3.(4P).4s 5P J=2,3d3.(4P).4p 5D* J=1,Fe V_1425.0834
Fe V,1426.4346,0.004,713,70104.86144965916,,3d3.(4P).4s 3P J=2,3d3.(2P).4p 3D* J=1,Fe V_1426.4346
Fe V,1427.8145,0.004,2617,70037.10916228963,,3d3.(4P).4s 3P J=2,3d3.(2D2).4p 3P* J=2,Fe V_1427.8145
Fe V,1429.0058,0.004,1956,69978.72226970668,,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3G* J=4,Fe V_1429.0058
Fe V,1429.33,0.004,2362,69962.84972679507,,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 3P* J=1,Fe V_1429.3300
Fe V,1429.4691,0.004,1730,69956.0417220631,,3d3.(2G).4s 3G J=3,3d3.(2G).4p 3G* J=3,Fe V_1429.4691
Fe V,1430.313,0.004,2449,69914.76690766287,,3d3.(2F).4s 1F J=3,3d3.(2F).4p 1D* J=2,Fe V_1430.3130
Fe V,1430.573,0.004,3207,69902.06022342097,,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=6,Fe V_1430.5730
Fe V,1430.7552,0.004,2037,69893.1585221567,,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 3D* J=3,Fe V_1430.7552
Fe V,1431.8875,0.004,1062,69837.88880062156,,3d3.(4P).4s 5P J=3,3d3.(4P).4p 3P* J=2,Fe V_1431.8875
Fe V,1435.0474,0.004,1505,69684.10938899998,,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3G* J=3,Fe V_1435.0474
Fe V,1440.529,0.004,2780,69418.94262454973,,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=5,Fe V_1440.5290
Fe V,1440.7939,0.004,2674,69406.17946813906,,3d3.(4P).4s 5P J=1,3d3.(4P).4p 5P* J=2,Fe V_1440.7939
Fe V,1442.2167,0.004,2897,69337.70771063739,,3d3.(2G).4s 1G J=4,3d3.(2G).4p 1H* J=5,Fe V_1442.2167
Fe V,1443.1662,0.004,2368,69292.08846493218,,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 3D* J=3,Fe V_1443.1662
Fe V,1446.286,0.004,1297,69142.61771184953,,3d3.(2P).4s 3P J=1,3d3.(2P).4p 3D* J=1,Fe V_1446.2860
Fe V,1447.7045,0.004,3201,69074.86990611689,,3d3.(2P).4s 3P J=1,3d3.(2D2).4p 3P* J=2,Fe V_1447.7045
Fe V,1448.8487,0.004,2406,69020.31937496303,,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5G* J=4,Fe V_1448.8487
Fe V,1449.929,0.004,2535,68968.89433896418,,3d3.(2F).4s 3F J=4,3d3.(2F).4p 3F* J=4,Fe V_1449.9290
Fe V,1451.102,0.004,2103,68913.1432525074,,3d3.(4P).4s 5P J=1,3d3.(4P).4p 5P* J=1,Fe V_1451.1020
Fe V,1451.266,0.004,1997,68905.35573768006,,3d3.(2D1).4s 3D J=2,3d3.(2D1).4p 3D* J=1,Fe V_1451.2660
Fe V,1453.616,0.004,1667,68793.95934001828,,3d3.(2H).4s 1H J=5,3d3.(2H).4p 1H* J=5,Fe V_1453.6160
Fe V,1454.241,0.004,1880,68764.39324706153,,3d3.(2D1).4s 3D J=1,3d3.(2D1).4p 3D* J=1,Fe V_1454.2410
Fe V,1454.47,0.004,2372,68753.56659126692,,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=4,Fe V_1454.4700
Fe V,1454.702,0.004,2016,68742.60157750522,,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=5,Fe V_1454.7020
Fe V,1455.557,0.004,2598,68702.22189855842,,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3G* J=3,Fe V_1455.5570
Fe V,1455.712,0.004,2133,68694.90668483876,,3d3.(2H).4s 3H J=4,3d3.(2P).4p 3D* J=3,Fe V_1455.7120
Fe V,1456.1622,0.004,2067,68673.6683591979,,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5G* J=3,Fe V_1456.1622
Fe V,1456.289,0.004,1894,68667.68889966208,,3d3.(4P).4s 5P J=2,3d3.(4P).4p 5P* J=1,Fe V_1456.2890
Fe V,1459.256,0.004,2088,68528.07183934827,,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=3,Fe V_1459.2560
Fe V,1459.833,0.004,2416,68500.9860716945,,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3G* J=4,Fe V_1459.8330
Fe V,1460.7298,0.004,1771,68458.93059756841,,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=4,Fe V_1460.7298
Fe V,1461.054,0.004,2033,68443.73993021475,,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=2,Fe V_1461.0540
Fe V,1462.5641,0.004,2067,68373.07164862039,,3d3.(2D2).4s 3D J=3,3d3.(2P).4p 3D* J=2,Fe V_1462.5641
Fe V,1462.635,0.004,1750,68369.75732154639,,3d3.(4F).4s 5F J=1,3d3.(4F).4p 5G* J=2,Fe V_1462.6350
Fe V,1463.065,0.004,1941,68349.66320703455,,3d3.(2F).4s 3F J=2,3d3.(2F).4p 3F* J=3,Fe V_1463.0650
Fe V,1464.2202,0.004,851,68295.73857811824,,3d3.(4P).4s 3P J=2,3d3.(2P).4p 3P* J=1,Fe V_1464.2202
Fe V,1464.685,0.004,2232,68274.06575475274,,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3G* J=5,Fe V_1464.6850
Fe V,1464.873,0.004,1886,68265.30354508548,,3d3.(2F).4s 3F J=2,3d3.(2F).4p 3F* J=2,Fe V_1464.8730
Fe V,1466.6498,0.004,2212,68182.60228174443,,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3H* J=5,Fe V_1466.6498
Fe V,1468.908,0.004,1420,68077.78295168928,,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5G* J=2,Fe V_1468.9080
Fe V,1469.0,0.004,2431,68073.51940095302,,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3H* J=6,Fe V_1469.0000
Fe V,1469.5986,0.004,3313,68045.79155151617,,3d3.(2P).4s 3P J=2,3d3.(2G).4p 1F* J=3,Fe V_1469.5986
Fe V,1471.2059,0.004,1774,67971.45117484915,,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3D* J=1,Fe V_1471.2059
Fe V,1471.334,0.004,1754,67965.5333187434,,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3G* J=3,Fe V_1471.3340
Fe V,1472.098,0.004,2264,67930.26007779373,,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3H* J=5,Fe V_1472.0980
Fe V,1472.5116,0.004,2576,67911.1797828961,,3d3.(2H).4s 3H J=4,3d3.(2H).4p 3H* J=4,Fe V_1472.5116
Fe V,1472.805,0.004,2349,67897.65108076086,,3d3.(2P).4s 3P J=2,3d3.(4P).4p 5S* J=2,Fe V_1472.8050
Fe V,1474.2722,0.004,3111,67830.07914006653,,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3H* J=4,Fe V_1474.2722
Fe V,1475.305,0.004,1007,67782.5941076591,,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=4,Fe V_1475.3050
Fe V,1475.6059,0.004,1800,67768.77213624587,,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3H* J=5,Fe V_1475.6059
Fe V,1477.534,0.004,938,67680.33764366843,,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=3,Fe V_1477.5340
Fe V,1477.7992,0.004,2048,67668.19199793856,,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3H* J=5,Fe V_1477.7992
Fe V,1478.287,0.004,926,67645.8630834202,,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5G* J=2,Fe V_1478.2870
Fe V,1478.785,0.004,2037,67623.08246296791,,3d3.(2P).4s 3P J=1,3d3.(2P).4p 3P* J=0,Fe V_1478.7850
Fe V,1479.39,0.004,1410,67595.42784526054,,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3G* J=4,Fe V_1479.3900
Fe V,1483.2574,0.004,1555,67419.1815931611,,3d3.(2P).4s 3P J=2,3d3.(2P).4p 3P* J=1,Fe V_1483.2574
Fe V,1484.212,0.004,1587,67375.81962684575,,3d3.(2P).4s 1P J=1,3d3.(4P).4p 3D* J=2,Fe V_1484.2120
Fe V,1484.375,0.004,1535,67368.42105263157,,3d3.(2P).4s 1P J=1,3d3.(4P).4p 3D* J=1,Fe V_1484.3750
Fe V,1485.4533,0.004,1418,67319.51788723348,,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3H* J=4,Fe V_1485.4533
Fe V,1485.9263,0.004,3092,67298.08874100956,,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3F* J=3,Fe V_1485.9263
Fe V,1494.6412,0.004,1006,66905.68947249682,,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3H* J=4,Fe V_1494.6412
Fe V,1495.615,0.004,2270,66862.12695112044,,3d3.(2H).4s 1H J=5,3d3.(2H).4p 3I* J=6,Fe V_1495.6150
Fe V,1496.2648,0.004,2416,66833.08997177506,,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3F* J=4,Fe V_1496.2648
Fe V,1499.2326,0.004,1684,66700.79079123546,,3d3.(2P).4s 1P J=1,3d3.(2P).4p 3S* J=1,Fe V_1499.2326
Fe V,1500.5822,0.004,2706,66640.80115038017,,3d3.(2D2).4s 3D J=1,3d3.(4P).4p 5S* J=2,Fe V_1500.5822
Fe V,1504.3315,0.004,1318,66474.70986281947,,3d3.(2P).4s 1P J=1,3d3.(2D2).4p 1P* J=1,Fe V_1504.3315
Fe V,1504.848,0.004,2514,66451.8941447907,,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3P* J=0,Fe V_1504.8480
Fe V,1508.1512,0.004,2801,66306.34912467662,,3d3.(2P).4s 3P J=2,3d3.(2G).4p 3F* J=3,Fe V_1508.1512
Fe V,1509.7897,0.004,2230,66234.39012731376,,3d3.(2D2).4s 1D J=2,3d3.(4P).4p 3D* J=1,Fe V_1509.7897
Fe V,1511.434,0.004,1912,66162.33325437961,,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3P* J=1,Fe V_1511.4340
Fe V,1514.8306,0.004,3085,66013.98202544892,,3d3.(2P).4s 3P J=2,3d3.(2G).4p 3F* J=2,Fe V_1514.8306
Fe V,1515.5359,0.004,3306,65983.26044272524,,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3D* J=3,Fe V_1515.5359
Fe V,1516.7993,0.004,2965,65928.30046796567,,3d3.(2P).4s 3P J=1,3d3.(2G).4p 3F* J=2,Fe V_1516.7993
Fe V,1519.5178,0.004,2044,65810.35115218788,,3d3.(2D2).4s 1D J=2,3d3.(4P).4p 3D* J=3,Fe V_1519.5178
Fe V,1525.1631,0.004,2379,65566.7580732841,,3d3.(2D2).4s 1D J=2,3d3.(2P).4p 3S* J=1,Fe V_1525.1631
Fe V,1530.4401,0.004,2013,65340.682069164286,,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 1P* J=1,Fe V_1530.4401
Fe V,1532.3289,0.004,1900,65260.14095276804,,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3G* J=3,Fe V_1532.3289
Fe V,1535.0382,0.004,905,65144.95860754475,,3d3.(4P).4s 3P J=2,3d3.(2G).4p 3G* J=3,Fe V_1535.0382
Fe V,1543.234,0.004,2774,64798.98706223425,,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5F* J=1,Fe V_1543.2340
Fe V,1554.218,0.004,1456,64341.03838715032,,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3D* J=3,Fe V_1554.2180
Fe V,1555.4456,0.004,2074,64290.2586885713,,3d3.(2D2).4s 1D J=2,3d3.(2P).4p 3D* J=2,Fe V_1555.4456
Fe V,1557.0542,0.004,3764,64223.84012065861,,3d3.(4P).4s 3P J=0,3d3.(4P).4p 3P* J=1,Fe V_1557.0542
Fe V,1557.31,0.004,2299,64213.29086694365,,3d3.(4F).4s 3F J=4,3d3.(4F).4p 5F* J=5,Fe V_1557.3100
Fe V,1557.6467,0.004,1901,64199.41055953189,,3d3.(2P).4s 1P J=1,3d3.(2D2).4p 3P* J=2,Fe V_1557.6467
Fe V,1563.7745,0.004,3510,63947.83902666273,,3d3.(4P).4s 3P J=1,3d3.(4P).4p 3P* J=1,Fe V_1563.7745
Fe V,1569.981,0.004,2684,63695.03834759784,,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5D* J=1,Fe V_1569.9810
Fe V,1571.91,0.004,2522,63616.87373959069,,3d3.(4P).4s 3P J=1,3d3.(4P).4p 5D* J=0,Fe V_1571.9100
Fe V,1576.2143,0.004,2545,63443.14983057824,,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5F* J=2,Fe V_1576.2143
Fe V,1582.7979,0.004,2521,63179.25996742857,,3d3.(2H).4s 3H J=5,3d3.(2G).4p 3G* J=5,Fe V_1582.7979
Fe V,1583.9544,0.004,692,63133.13060022434,,3d3.(2D2).4s 1D J=2,3d3.(2P).4p 3D* J=1,Fe V_1583.9544
Fe V,1584.5342,0.004,1997,63110.02943325553,,3d3.(4P).4s 3P J=2,3d3.(4P).4p 5D* J=2,Fe V_1584.5342
Fe V,1585.656,0.004,2596,63065.38114193747,,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 3P* J=2,Fe V_1585.6560
Fe V,1588.197,0.004,1740,62964.48110656298,,3d3.(2D2).4s 3D J=3,3d3.(2G).4p 3G* J=4,Fe V_1588.1970
Fe V,1588.9028,0.004,929,62936.5119124971,,3d3.(2P).4s 1P J=1,3d3.(4P).4p 5S* J=2,Fe V_1588.9028
Fe V,1589.011,0.004,1717,62932.226397425824,,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5D* J=2,Fe V_1589.0110
Fe V,1589.3908,0.004,2305,62917.188145294414,,3d3.(2H).4s 3H J=6,3d3.(2G).4p 3G* J=5,Fe V_1589.3908
Fe V,1589.9376,0.004,1813,62895.55011467117,,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3H* J=4,Fe V_1589.9376
Fe V,1593.7032,0.004,1636,62746.94058467098,,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5D* J=3,Fe V_1593.7032
Fe V,1596.3679,0.004,2044,62642.20171302618,,3d3.(2H).4s 3H J=5,3d3.(2G).4p 3G* J=4,Fe V_1596.3679
Fe V,1598.824,0.004,1157,62545.97128889734,,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3D* J=1,Fe V_1598.8240
Fe V,1599.84,0.004,1485,62506.25062506251,,3d3.(4F).4s 3F J=4,3d3.(4F).4p 5D* J=4,Fe V_1599.8400
Fe V,1606.6786,0.004,3211,62240.20161841952,,3d3.(2P).4s 3P J=2,3d3.(4P).4p 3P* J=1,Fe V_1606.6786
Fe V,1607.833,0.004,873,62195.514086351,,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5D* J=2,Fe V_1607.8330
Fe V,1614.1888,0.004,2588,61950.62188512274,,3d3.(2D2).4s 1D J=2,3d3.(2G).4p 1F* J=3,Fe V_1614.1888
Fe V,1617.04,0.004,630,61841.38920496711,,3d3.(4F).4s 3F J=4,3d3.(4F).4p 5D* J=3,Fe V_1617.0400
Fe V,1618.058,0.004,1624,61802.48174045677,,3d3.(2D2).4s 1D J=2,3d3.(4P).4p 5S* J=2,Fe V_1618.0580
Fe V,1618.379,0.004,3209,61790.223427268895,,3d3.(2H).4s 3H J=5,3d3.(2G).4p 3H* J=6,Fe V_1618.3790
Fe V,1620.0873,0.004,931,61725.06876635599,,3d3.(4P).4s 3P J=2,3d3.(4P).4p 3P* J=2,Fe V_1620.0873
Fe V,1624.255,0.004,2023,61566.68749672927,,3d3.(2H).4s 1H J=5,3d3.(2G).4p 1H* J=5,Fe V_1624.2550
Fe V,1630.8433,0.004,2641,61317.96966636831,,3d3.(4P).4s 3P J=1,3d3.(4P).4p 5P* J=2,Fe V_1630.8433
Fe V,1639.7918,0.004,3568,60983.35166696162,,3d3.(2D2).4s 3D J=1,3d3.(4P).4p 3P* J=1,Fe V_1639.7918
Fe V,1643.4256,0.004,1635,60848.51057449756,,3d3.(2P).4s 3P J=2,3d3.(4P).4p 3P* J=2,Fe V_1643.4256
Fe V,1645.743,0.004,1515,60762.82870411723,,3d3.(2P).4s 3P J=1,3d3.(4P).4p 3P* J=2,Fe V_1645.7430
Fe V,1648.74,0.004,2580,60652.376966653326,,3d3.(2D2).4s 3D J=1,3d3.(4P).4p 5D* J=0,Fe V_1648.7400
Fe V,1651.9301,0.004,1129,60535.24903989582,,3d3.(2P).4s 3P J=1,3d3.(4P).4p 5D* J=1,Fe V_1651.9301
Fe V,1652.528,0.004,1353,60513.34682377545,,3d3.(2H).4s 3H J=4,3d3.(2G).4p 3H* J=5,Fe V_1652.5280
Fe V,1654.7456,0.004,1888,60432.250129566746,,3d3.(2H).4s 3H J=5,3d3.(2G).4p 3H* J=5,Fe V_1654.7456
Fe V,1659.894,0.004,1870,60244.8108132206,,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5G* J=4,Fe V_1659.8940
Fe V,1660.5473,0.004,1969,60221.10902833061,,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 5D* J=2,Fe V_1660.5473
Fe V,1661.049,0.004,1881,60202.919962024,,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5G* J=3,Fe V_1661.0490
Fe V,1662.738,0.004,793,60141.7661712188,,3d3.(2P).4s 3P J=1,3d3.(4P).4p 3P* J=0,Fe V_1662.7380
Fe V,1668.925,0.004,2360,59918.810012433154,,3d3.(2D2).4s 1D J=2,3d3.(2G).4p 3F* J=2,Fe V_1668.9250
Fe V,1676.438,0.007,559,59650.28232478624,,3d3.(2H).4s 3H J=4,3d3.(2G).4p 3H* J=4,Fe V_1676.4380
