line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Ni V_1167.1020,Ni V,1167.234456895673,0.0003487929334792263,104084.59265510105,1
Ni V_1182.6060,Ni V,1182.5141112876283,0.0011119666613954168,1313.617101990076,1
Ni V_1185.9440,Ni V,1185.944805458528,0.000976112568601177,2076.909892712256,1
Fe V_1195.0981,Fe V,1194.9314952834727,0.000921760895825973,3819.923379226071,1
Ni V_1195.1890,Ni V,1194.9331856888068,0.0009040980666995888,4055.1738645026553,1
Ni V_1198.5190,Ni V,1198.5489001964568,0.0008139547889377213,3596.3717239657826,1
Fe V_1198.5945,Fe V,1198.5563519191624,0.0008087472275668747,3498.759386186519,1
Fe V_1200.1811,Fe V,1200.2722158203828,0.0004946706227775214,23963.76802756761,1
Ni V_1202.0340,Ni V,1201.725156615431,0.002937183558692838,4780.128378367803,1
Ni V_1204.7270,Ni V,1204.2317815698714,0.0010292769562636002,123899.7260753896,1
Fe V_1207.1183,Fe V,1206.6419234213902,0.0015048688321999942,134101.25871461464,1
Fe V_1208.2606,Fe V,1208.3681095311003,0.004792971707973364,107.96155250078968,1
Fe V_1214.7130,Fe V,1214.5249238282433,0.0015062263771043975,2143.6761920401577,1
Fe V_1217.9973,Fe V,1218.4814236906175,0.0025895563759938214,15186.810211210064,1
Fe V_1224.4142,Fe V,1224.663532364207,0.0019564427630605406,4134.76622413853,1
Fe V_1228.1263,Fe V,1228.4918040759258,0.005249014142084185,1955.172795401752,1
Ni V_1233.3240,Ni V,1233.0181979001857,0.001105452667828996,23251.529217932464,1
Ni V_1234.3970,Ni V,1234.5168708648728,0.0016620356978863371,1221.1403263708,1
Ni V_1234.5840,Ni V,1234.513321443181,0.0015063273149263851,1184.3408079463375,1
Fe V_1234.6455,Fe V,1234.5076502891277,0.0016983229469544447,1253.4935587205907,1
Ni V_1235.8380,Ni V,1235.9533969808676,0.001646871762788549,863.5940125805614,1
Ni V_1237.2050,Ni V,1237.4691653189454,0.001921134156761944,6504.30287664641,1
Ni V_1241.3330,Ni V,1241.6137842104351,0.002526826054769493,1396.6936197930554,1
Ni V_1241.6400,Ni V,1241.6453149969002,0.0018870202483952964,1059.4776975884772,1
Ni V_1241.9880,Ni V,1241.6383793866598,0.004244958615379072,1768.9731157336473,1
Ni V_1243.5040,Ni V,1243.769868525587,0.0008444076250354936,9883.740114965556,1
Ni V_1244.0260,Ni V,1243.8365071242374,0.0016386607427868224,12675.127364274042,1
Ni V_1244.7880,Ni V,1244.1928000000003,0.004153845000639255,9011.590516424054,1
Ni V_1246.3650,Ni V,1246.5938647537093,0.0025776398325724017,277.81439380082827,1
Ni V_1246.5490,Ni V,1246.5866359565516,0.002370122093481635,358.8600103907618,1
Ni V_1247.6120,Ni V,1247.1355296414617,0.008565745540553893,6684.481817661694,1
Ni V_1249.5320,Ni V,1249.7269120740061,0.0012177650696865857,3659.686942104629,1
Fe V_1250.7350,Fe V,1250.4988351395427,0.0003123185281759717,1897.5151038636554,1
Ni V_1251.8350,Ni V,1251.3475531746801,0.024839028403111935,2587.224169026925,1
Ni V_1252.0750,Ni V,1251.4812000000177,0.2441899800575859,2693.4312631140438,1
Ni V_1252.2810,Ni V,1252.7816283017332,0.013963067107485497,2645.683362212915,1
Ni V_1253.6630,Ni V,1254.104945334036,0.0003049889020443066,527231.1756450462,1
Ni V_1254.1970,Ni V,1254.2970037573189,0.0003572680774648111,1021008.3685922706,1
Ni V_1254.8660,Ni V,1254.4554027065153,0.000253424973713844,884949.9050495888,1
Ni V_1256.2220,Ni V,1256.6308659228362,0.00035416669074227034,483799.6691662278,1
Ni V_1256.9160,Ni V,1256.9057865836462,0.0010015777816128732,675431.146458376,1
Ni V_1257.6370,Ni V,1257.216855758677,0.00036078362790826037,540187.8221386466,1
Ni V_1258.0240,Ni V,1258.4216013922148,0.000636732684997115,128400.62792925659,1
Ni V_1259.5920,Ni V,1259.128412365563,0.0008166501468908985,140133.74348705937,1
