line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Fe V_1195.0981,Fe V,1195.2639970155847,0.0003683679537031314,133152.11503494412,1
Fe V_1198.5945,Fe V,1198.587230434543,0.0008555215513779215,2544.313946444867,1
Fe V_1200.1811,Fe V,1200.2722156253683,0.0004946708599540163,23963.797365443515,1
Fe V_1207.1183,Fe V,1206.641923063249,0.0015048737110952735,134097.71463529373,1
Fe V_1208.2606,Fe V,1208.364755995142,0.004792929669507204,111.37447995706506,1
Fe V_1214.7130,Fe V,1214.5249292715637,0.0015062220584027156,2143.3933952370144,1
Fe V_1217.9973,Fe V,1218.4814245588486,0.002589764913023338,15183.878702063881,1
Fe V_1224.4142,Fe V,1224.6635318106603,0.001956432330800428,4134.773167769208,1
Fe V_1228.1263,Fe V,1228.4918204652583,0.00524939469260576,1955.1373173228899,1
Fe V_1234.6455,Fe V,1234.8544854619504,0.002577015426142443,1923.5126063681303,1
Fe V_1250.7350,Fe V,1250.49883511567,0.0003123178714329701,1897.5916362148678,1
Fe V_1266.5218,Fe V,1266.9807571796148,0.0014951907611112944,86139.13888550333,1
Fe V_1269.7855,Fe V,1270.322764649607,0.00974060767557957,343.29757839112324,1
Fe V_1270.4713,Fe V,1270.326561116908,0.00196670636760113,3015.717250177243,1
Fe V_1279.5917,Fe V,1279.5762782690783,0.0023532651544075664,2456.6741960511163,1
Fe V_1280.4678,Fe V,1279.9233113226765,0.004729111362467326,1455.8038325227371,1
Fe V_1280.6480,Fe V,1280.0496000000003,0.006337564682767573,3184.537079529292,1
Fe V_1281.3672,Fe V,1281.9647999997528,0.009936627254138209,449.85225393529106,1
Fe V_1281.6471,Fe V,1282.2459999999999,0.014561654286865004,502.2456618304591,1
Fe V_1282.0587,Fe V,1282.4073442232525,0.007306943229063526,754.3637436089884,1
Fe V_1284.1080,Fe V,1284.6080570204972,0.0017763387938917183,29060.78359088328,1
Fe V_1285.9150,Fe V,1285.9548019266088,0.0005088436896177848,4892.450229945419,1
Fe V_1288.1681,Fe V,1288.3834110505788,0.006882187335543305,569.056678528641,1
Fe V_1288.7231,Fe V,1288.3704327052578,0.014381266134883792,881.1513675853162,1
Fe V_1289.5369,Fe V,1289.640089384308,0.0009440588966828306,2040.5931566964578,1
Fe V_1291.1881,Fe V,1290.860407406826,0.0013970042117623202,25306.24100077374,1
Fe V_1293.1270,Fe V,1293.271098107759,0.0007359155975260834,4854.949231027666,1
Fe V_1293.3059,Fe V,1293.2654445367527,0.0006328543303932595,4991.748402039164,1
Fe V_1297.5453,Fe V,1297.6209724220719,0.0008884330467518187,2185.899105058559,1
Fe V_1300.6095,Fe V,1301.1286396853232,0.0,28681.410334288223,1
Fe V_1300.8450,Fe V,1301.2429177278784,0.0021010190233937847,6297.052702486562,1
Fe V_1303.0834,Fe V,1303.329496409009,0.002199188390420881,2028.1194129985001,1
Fe V_1303.4853,Fe V,1303.2794227794222,0.0017184212484484312,2563.5836230511563,1
Fe V_1304.8140,Fe V,1304.6705297830115,0.0002129778740411379,663882.1953723577,1
Fe V_1305.9674,Fe V,1306.1815935844618,0.001813160428891047,3914.1907099897285,1
Fe V_1306.0803,Fe V,1306.180917486454,0.0017966559124186672,3917.1752077679294,1
Fe V_1307.2190,Fe V,1307.517971623256,0.0019639196395369466,3334.074238507984,1
Fe V_1307.4242,Fe V,1307.4907887378863,0.0014316702720866643,3955.1674225986185,1
Fe V_1310.7510,Fe V,1311.1002844420816,0.0005511722426724453,517526.3126153186,1
Fe V_1311.2378,Fe V,1310.8294432603834,0.002778071111890615,627462.7910277788,1
