line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Fe V_1195.0981,Fe V,1195.2640304331346,0.00036864731108389703,133107.35771615585,1
Fe V_1198.5945,Fe V,1198.5872229498136,0.000855319174361484,2545.410030702744,1
Fe V_1200.1811,Fe V,1200.272254159915,0.0004946637894948932,23958.897303078993,1
Fe V_1207.1183,Fe V,1206.6419131277123,0.0015050028662656218,133997.46518142836,1
Fe V_1208.2606,Fe V,1208.3648258620804,0.004794441662208837,111.28763565776552,1
Fe V_1214.7130,Fe V,1214.5249869821414,0.0015072432536635942,2137.2221208616716,1
Fe V_1217.9973,Fe V,1218.4814489760138,0.002595627983630325,15101.817217084168,1
Fe V_1224.4142,Fe V,1224.6635119198309,0.0019563447765245027,4135.003409178062,1
Fe V_1228.1263,Fe V,1228.4921574559266,0.005259941522308825,1954.1468446148879,1
Fe V_1234.6455,Fe V,1234.8570445338291,0.0026451592659356466,1959.2670817467992,1
Fe V_1250.7350,Fe V,1250.4988344471008,0.00031229957030289376,1899.7624258798028,1
Fe V_1266.5218,Fe V,1266.9807573877458,0.0014959703635499578,86032.28018123617,1
Fe V_1269.7855,Fe V,1270.3238277672408,0.010221528090104185,341.13314417686604,1
Fe V_1270.4713,Fe V,1270.326969099133,0.0020530383829164447,2976.1292689847255,1
Fe V_1279.5917,Fe V,1279.5763055416583,0.002356725997941708,2453.821980912625,1
Fe V_1280.4678,Fe V,1279.9230838443884,0.004751882767969303,1453.2430453540112,1
Fe V_1280.6480,Fe V,1280.0496000000003,0.006355656530037864,3166.9987611014267,1
Fe V_1281.3672,Fe V,1281.9647999997787,0.009963223976638218,449.4000445080988,1
Fe V_1281.6471,Fe V,1282.2459999999999,0.014582793513160075,502.71987425088355,1
Fe V_1282.0587,Fe V,1282.4080623761356,0.007338014102785462,754.0658760397038,1
Fe V_1284.1080,Fe V,1284.6080598444482,0.0017777002743502193,29007.79576745577,1
Fe V_1285.9150,Fe V,1285.9547675288,0.0005089357545496663,4889.590344861179,1
Fe V_1288.1681,Fe V,1288.3834178950867,0.00688284226302388,569.053321086385,1
