line_id,species,lambda0_ang,lambda_obs,sigma_lambda_obs,depth,width,continuum_c0,continuum_c1,chi2_local,reduced_chi2_local,asymmetry,snr,window_contam,flags,n_components,q_cm1,lambda0_unc_ang
line_0001,Ni V,1167.102,1167.2126326083542,0.007672693356639927,-0.2470698843405983,0.20936927749482592,1.0308957619125048,0.01716722538166586,296.1284742080546,1.9741898280536976,0.3529891140564548,15.614397518253591,0.1275454133573556,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2415,0.005
line_0002,Ni V,1182.606,1182.6992323486083,0.006995859017304904,-0.2925220632703726,0.21093339375039669,1.0466182804719246,-0.020300147796279724,606.4280237508282,4.042853491672187,-0.45311761630417974,22.222230138154572,0.13176303293373484,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2791,0.005
line_0003,Ni V,1185.944,1185.9753743142594,0.008374602008397694,-0.24186610746567094,0.18885590903773924,1.0132972981003072,-0.029320986699818162,717.8857830096006,4.785905220064004,-0.40380650023518133,17.192621724690177,0.22218650117634867,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3588,0.005
line_0005,Ni V,1195.189,1195.2113580782184,0.010137904016507665,-0.2073747254640982,0.25576828208250524,1.0792693022406663,-0.029394331435504455,693.1557075881976,4.621038050587984,0.3129887355478076,21.738313652340615,0.13113116043500703,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3065,0.002
line_0010,Ni V,1204.727,1204.7128181667438,0.0074704940944490435,-0.18342288908217363,0.17912558170574766,1.0333111872299927,-0.003098402325403774,832.1116111559925,5.54741074103995,0.5367210077514161,23.07408918276951,0.13837731086218566,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2833,0.002
line_0011,Fe V,1207.1183,1207.262023089131,0.01078241560772899,-0.1748124739741982,0.17606170139109528,1.0121892630060125,0.0018919102619918042,193.34614458095376,1.2976251314157972,-0.5792861739758829,18.23127922343015,0.10145127103757318,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2538,0.004
line_0012,Fe V,1208.2606,1208.4193455846207,0.00966694524779031,-0.09323300089551934,0.18104518591158547,1.0045069039605814,0.010259024133433648,105.46647724243235,0.7031098482828824,0.37597662769486523,9.658312811571104,0.16057524830257344,BLEND_SUSPECT;MULTI_MINIMA,2,2890,0.004
line_0013,Fe V,1214.713,1214.8151218942337,0.011220233644253728,-0.22904835307652305,0.19803434137150827,1.0283884798950345,0.006177424955278643,343.42597626558324,2.2895065084372215,-0.4865813711626447,19.101440743115674,0.1246289345835761,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3027,0.004
line_0014,Fe V,1217.9973,1218.1410664984526,0.007721458024136906,-0.2585601133640818,0.1627815804454769,1.0144513357968319,0.005620351756288657,428.5864023606422,2.8572426824042814,0.6417025069847121,24.623022729670787,0.12365176041428612,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3595,0.004
line_0015,Fe V,1224.4142,1224.4267065076185,0.008772890339603375,-0.19004082235501707,0.12970464872205764,1.0089032638581645,-0.0034467481394240924,256.7431317493912,1.7231082667744375,-0.7326568569903414,20.382840620150056,0.14215836412853863,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,1613,0.004
line_0022,Ni V,1237.205,1237.210466269688,0.006740874000234029,-0.17640005161755312,0.17260437423802186,1.0188989775920176,-0.0036249915228673464,497.0161960487329,3.3134413069915527,0.5793158865767825,23.482663510146374,0.11157085632434773,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2590,0.002
line_0023,Ni V,1241.333,1241.6018813079145,0.04502083154443116,-0.10291647463098197,0.2831022068792534,1.0939004904195075,0.1172137422581176,690.4020849207906,4.602680566138604,-0.7315629013479121,11.82432282705169,0.19240956823388355,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2656,0.005
line_0043,Ni V,1258.024,1258.1013484421705,0.003924662608372338,-0.19684609331924685,0.31558143196371247,1.0285053864293559,0.050815236183605686,774.7083159658965,5.16472210643931,-0.7204629390320016,31.004008453402474,0.19611778665504653,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3088,0.002
line_0044,Ni V,1259.592,1259.821415319741,0.030435664683946928,-0.162895323056923,0.22676898901523063,1.028625156554154,0.02309339365550688,1136.035275540356,7.624397822418497,-0.5194706310461541,22.696983635264935,0.16240218865023515,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3728,0.004
line_0050,Ni V,1262.739,1262.8703453172361,0.03123002887134065,-0.05052997292036232,0.1273395500902889,1.0022777960237417,-0.0028409802939964395,163.07796570532471,1.087186438035498,-0.8266347874202502,7.45231872797153,0.26847764292129855,BLEND_SUSPECT;MULTI_MINIMA,2,3915,0.005
line_0059,Ni V,1269.384,1269.4863146161958,0.002141852220819935,-0.03662217487940411,0.022385866382816623,0.6476740664761618,0.0347336241486872,253.3158368656541,1.6887722457710272,-0.3816722240794662,9.349193586391563,0.35387160513864657,BLEND_SUSPECT;MULTI_MINIMA,2,4191,0.005
line_0063,Ni V,1273.817,1273.9031628853772,0.0040589576464761514,-0.10091117464259314,0.18984214723674775,1.0331812180456605,0.05258560640314991,750.2755378874691,5.0018369192497945,-0.6789057279210029,15.396235871362064,0.21816169570411556,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,4084,0.004
