line_id,species,lambda0_ang,lambda_obs,sigma_lambda_obs,depth,width,continuum_c0,continuum_c1,chi2_local,reduced_chi2_local,asymmetry,snr,window_contam,flags,n_components,q_cm1,lambda0_unc_ang
line_0001,Ni V,1167.102,1167.2126326083542,0.007672693356639927,-0.2470698843405983,0.20936927749482592,1.0308957619125048,0.01716722538166586,296.1284742080546,1.9741898280536976,0.3529891140564548,15.614397518253591,0.1275454133573556,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2415,0.005
line_0002,Ni V,1182.606,1182.6992323486083,0.006995859017304904,-0.2925220632703726,0.21093339375039669,1.0466182804719246,-0.020300147796279724,606.4280237508282,4.042853491672187,-0.45311761630417974,22.222230138154572,0.13176303293373484,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2791,0.005
line_0003,Ni V,1185.944,1185.9753743142594,0.008374602008397694,-0.24186610746567094,0.18885590903773924,1.0132972981003072,-0.029320986699818162,717.8857830096006,4.785905220064004,-0.40380650023518133,17.192621724690177,0.22218650117634867,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3588,0.005
line_0004,Fe V,1195.0981,1195.121639380907,0.015655585630544068,-0.20987966491741605,0.19383042814408685,1.1198772098674927,0.15526392446881296,623.5641654811976,4.157094436541318,1.006208899322854,22.00089704766269,0.12473851619798784,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3503,0.004
line_0005,Ni V,1195.189,1195.2113580782184,0.010137904016507665,-0.2073747254640982,0.25576828208250524,1.0792693022406663,-0.029394331435504455,693.1557075881976,4.621038050587984,0.3129887355478076,21.738313652340615,0.13113116043500703,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3065,0.002
line_0006,Ni V,1198.519,1198.606583552475,0.0035695836810078975,-0.3645383324502036,0.10404244623856526,1.1279579318240964,0.2278170885151139,1824.0222037672593,12.160148025115062,1.3666867720510032,33.26710125580075,0.20331307639997365,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3739,0.002
line_0007,Fe V,1198.5945,1198.6496401511836,0.0051308576080703865,-0.3721021475204892,0.1143880059108954,1.0464695449244243,0.020119916908960204,2179.1596878927126,14.527731252618084,1.0242213599089212,33.12025301812635,0.217693092973324,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,4284,0.004
line_0008,Fe V,1200.1811,1200.2713913696164,0.005019127457058162,-0.7323266245032569,0.2713088010350358,1.0310672257792914,-0.011669801507991708,3118.666760636401,20.791111737576006,0.2692385852902805,68.0737666641159,0.2739596651915754,BLEND_SUSPECT;MULTI_MINIMA;POOR_FIT;SATURATED,2,3155,0.004
line_0009,Ni V,1202.034,1201.929914936773,0.0021886487095356764,-0.8727835198313313,0.13499216172190337,3.9014554335650593,-5.745708935674799,94784.69887750503,636.1389186409733,-0.8576837199930455,57.36565746525309,0.8360044837804708,BLEND_SUSPECT;MULTI_MINIMA;POOR_FIT;SATURATED,2,3605,0.005
line_0010,Ni V,1204.727,1204.7128181667438,0.0074704940944490435,-0.18342288908217363,0.17912558170574766,1.0333111872299927,-0.003098402325403774,832.1116111559925,5.54741074103995,0.5367210077514161,23.07408918276951,0.13837731086218566,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2833,0.002
line_0011,Fe V,1207.1183,1207.262023089131,0.01078241560772899,-0.1748124739741982,0.17606170139109528,1.0121892630060125,0.0018919102619918042,193.34614458095376,1.2976251314157972,-0.5792861739758829,18.23127922343015,0.10145127103757318,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2538,0.004
line_0012,Fe V,1208.2606,1208.4193455846207,0.00966694524779031,-0.09323300089551934,0.18104518591158547,1.0045069039605814,0.010259024133433648,105.46647724243235,0.7031098482828824,0.37597662769486523,9.658312811571104,0.16057524830257344,BLEND_SUSPECT;MULTI_MINIMA,2,2890,0.004
line_0013,Fe V,1214.713,1214.8151218942337,0.011220233644253728,-0.22904835307652305,0.19803434137150827,1.0283884798950345,0.006177424955278643,343.42597626558324,2.2895065084372215,-0.4865813711626447,19.101440743115674,0.1246289345835761,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3027,0.004
line_0014,Fe V,1217.9973,1218.1410664984526,0.007721458024136906,-0.2585601133640818,0.1627815804454769,1.0144513357968319,0.005620351756288657,428.5864023606422,2.8572426824042814,0.6417025069847121,24.623022729670787,0.12365176041428612,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,3595,0.004
line_0015,Fe V,1224.4142,1224.4267065076185,0.008772890339603375,-0.19004082235501707,0.12970464872205764,1.0089032638581645,-0.0034467481394240924,256.7431317493912,1.7231082667744375,-0.7326568569903414,20.382840620150056,0.14215836412853863,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,1613,0.004
line_0016,Fe V,1228.1263,1228.084566502642,0.01755488390249695,-0.2256941779872368,0.1765607086795017,1.3725956130205548,-0.708878805710452,1886.791374305321,12.578609162035473,-1.0019635009329042,24.862228765886233,0.2652631773041087,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,2799,0.004
line_0017,Ni V,1233.324,1233.6004015222218,0.03702278899824544,-0.09245491412782769,0.15856755069563294,1.2855134949804332,0.5656873936759522,1696.633489654192,11.310889931027948,1.203870740687479,9.83206266350631,0.38415910948361465,BLEND_SUSPECT;MULTI_MINIMA,2,1995,0.013
line_0018,Ni V,1234.397,,,,,,,,,,,,FIT_FAILED,0,2256,0.002
line_0019,Ni V,1234.584,,,,,,,,,,,,FIT_FAILED,0,3628,0.002
