species,wavelength_vac_ang,wavelength_unc_ang,lower_level,upper_level,Aki_s-1,fik,nist_source,q_cm-1,q_source,wl_match_ang,f_q,gamma_s-1
Fe V,1104.7510,0.0060,3d3.(2H).4p 3I* J=6,3d3.(2G).4d 3I J=6,1.7e+09,2.3e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1105.2180,0.0060,3d3.(2F).4p 3F* J=2,3d3.(2H).4d 3G J=3,9.8e+08,3.5e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1105.5780,0.0230,3d5.(2I).4s 3I J=6,3d5.(2H).4p 3I* J=6,5.30e+08,7.48e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1105.8510,0.0060,3d3.(2P).4p 3F* J=3,3d3.(4P).4d 3D J=2,6.0e+08,1.5e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1107.2290,0.0120,3d3.(2D2).4p 1F* J=3,3d3.(4P).4d 3F J=2,,,NIST_ASD_v5.12;L11803,,,,,
Fe V,1109.8930,0.0060,3d3.(2H).4p 3I* J=7,3d3.(2G).4d 3I J=7,2.0e+09,2.5e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1110.3440,0.0060,3d3.(2D2).4p 3F* J=4,3d3.(4P).4d 3D J=3,4.e+08,7.e-03,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1111.0320,0.0060,3d3.(2H).4p 3I* J=6,3d3.(2G).4d 3I J=5,6.e+07,9.e-04,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1111.8300,0.0040,3d3.(2H).4s 3H J=6,3d3.(2F).4p 3G* J=5,1.4e+09,2.0e-02,NIST_ASD_v5.12;L3625;T6653c93,,,,,
Fe V,1112.4730,0.0060,3d3.(4P).4p 5D* J=4,3d3.(4F).4d 5D J=3,7.0e+08,1.4e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1112.6510,0.0040,3d3.(2H).4s 1H J=5,3d3.(2F).4p 1G* J=4,3.1e+09,5.2e-02,NIST_ASD_v5.12;L3625;T6653c93,,,,,
Fe V,1114.0540,0.0040,3d3.(2H).4s 3H J=5,3d3.(2F).4p 3G* J=4,1.2e+09,2.0e-02,NIST_ASD_v5.12;L3625;T6653c93,,,,,
Ni V,1115.2790,0.0060,3d5.(2I).4s 3I J=5,3d5.(2H).4p 3I* J=5,6.05e+08,1.02e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1118.3840,0.0040,3d3.(2H).4s 3H J=4,3d3.(2F).4p 3G* J=3,1.0e+09,2.1e-02,NIST_ASD_v5.12;L3625;T6653c93,,,,,
Ni V,1119.3260,0.0130,3d5.(6S).4s 7S J=3,3d5.(6S).4p 5P* J=3,1.89e+08,5.08e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1119.9290,0.0060,3d3.(2D2).4p 1D* J=2,3d3.(2P).4d 1F J=3,,,NIST_ASD_v5.12;L11803,,,,,
Fe V,1120.5120,0.0060,3d3.(2F).4p 3G* J=3,3d3.(2H).4d 3H J=4,1.4e+09,3.6e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Ni V,1120.8760,0.0060,3d5.(2H).4s 3H J=5,3d5.(2F2).4p 3G* J=4,3.28e+09,5.63e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1122.1160,0.0060,3d3.(2F).4p 3D* J=3,3d3.(2D2).4d 3D J=3,3.3e+09,9.e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1122.6710,0.0060,3d3.(2F).4p 3G* J=4,3d3.(2H).4d 3H J=5,1.8e+09,3.8e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1122.7340,0.0040,3d3.(2G).4s 1G J=4,3d3.(2F).4p 3F* J=4,,,NIST_ASD_v5.12;L3625,,,,,
Fe V,1123.1640,0.0060,3d3.(2H).4p 3G* J=3,3d3.(4P).4d 3F J=2,1.2e+09,3.4e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1123.4390,0.0060,3d3.(2H).4p 1H* J=5,3d3.(2G).4d 3G J=5,,,NIST_ASD_v5.12;L11803,,,,,
Fe V,1123.8650,0.0040,3d3.(4F).4s 3F J=3,3d3.(2P).4p 3D* J=2,3.1e+08,8.4e-03,NIST_ASD_v5.12;L3625;T6653c93,,,,,
Ni V,1124.2930,0.0050,3d5.(2H).4s 3H J=6,3d5.(2F2).4p 3G* J=5,4.85e+09,7.06e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1125.0350,0.0050,3d5.(4G).4s 5G J=6,3d5.(4G).4p 3G* J=5,2.57e+08,3.75e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1125.5350,0.0060,3d3.(2F).4p 1F* J=3,3d3.(2D2).4d 1G J=4,,,NIST_ASD_v5.12;L11803,,,,,
Fe V,1125.9800,0.0060,3d3.(2F).4p 3D* J=2,3d3.(2D2).4d 3D J=2,9.5e+08,3.7e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1126.9030,0.0060,3d3.(2F).4p 3G* J=5,3d3.(2H).4d 3H J=6,1.8e+09,3.2e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1128.3430,0.0060,3d3.(2D2).4p 3D* J=1,3d3.(4P).4d 3D J=1,6.0e+08,3.7e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1130.5950,0.0060,3d3.(2H).4p 3G* J=5,3d3.(2G).4d 3H J=6,4.7e+09,8.2e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1130.7510,0.0060,3d3.(2F).4p 3D* J=1,3d3.(2D2).4d 3D J=1,1.2e+09,8.e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1134.4600,0.0060,3d3.(2D2).4p 3D* J=2,3d3.(4P).4d 3D J=2,7.5e+08,2.9e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
