line_id,species,lambda0_ang,q_cm1,lambda0_unc_ang,converged,flags,lambda_obs,sigma_lambda_obs,depth,width,depth_err,chi2_local,reduced_chi2_local,dof_local,n_components,best_k,delta_bic_vs_k1,asymmetry,snr,window_contam
line_0020,Fe V,1234.6455,2338,0.004,True,BLEND_RESOLVED,1234.7414921499233,0.002846725367880942,0.14455086555974286,0.03902627720411364,0.007844356463373878,359.02672173057255,3.739861684693464,96.0,3.0,3.0,1623.913238679232,0.10973505036665293,18.42737084102004,0.6666666666666666
line_0023,Ni V,1241.333,2656,0.005,True,BLEND_RESOLVED,1241.4976036515468,0.011676242325488806,0.06204827038206277,0.06652549543616351,0.009024272526232155,446.57483803216684,4.651821229501738,96.0,3.0,3.0,459.44185482601665,0.09719120618981573,6.875708839875803,0.6666666666666666
line_0026,Ni V,1243.504,2377,0.002,True,BLEND_RESOLVED,1243.5547866337574,0.009146604924409754,0.13357799290387212,0.10013790407880292,0.008644748047352189,285.84946453583314,2.9469016962457024,97.0,3.0,3.0,3578.1355601553855,0.11022103183780037,15.451924355943017,0.6666666666666666
line_0029,Ni V,1246.365,3457,0.005,True,BLEND_RESOLVED,1246.4588791130125,0.0075719482374320786,0.04846705956699362,0.06897066032903429,0.003643661091264615,114.40644015419481,1.1917337516061959,96.0,3.0,3.0,11.862571460436953,0.03613533569263055,13.301747432874452,0.6666666666666666
line_0030,Ni V,1246.549,2296,0.005,True,BLEND_RESOLVED,1246.6803983393888,0.009226724097224274,0.08714475563249267,0.0989262838002488,0.00964476559011243,126.13950698729788,1.3139531977843528,96.0,3.0,3.0,744.9575676840894,0.12032760173980406,9.035445684841866,0.6666666666666666
line_0036,Ni V,1252.281,3105,0.004,True,BLEND_RESOLVED,1252.3794379102485,0.0024934270082996616,0.0699831119449358,0.022045512469077214,0.0058956979193282725,169.1670723215222,1.7439904363043526,97.0,3.0,3.0,541.3666496791999,0.20339522053630368,11.870199746073377,0.6666666666666666
line_0041,Ni V,1256.916,3531,0.002,True,,1257.0370813605416,0.015616444459773119,0.07223679685972072,0.21842816476107418,0.010053479395897088,133.7857772450886,1.337857772450886,100.0,1.0,1.0,0.0,0.1627932472448955,7.185253384932701,0.0
line_0042,Ni V,1257.637,3765,0.004,True,,1257.7356448668186,0.0008061757373018796,0.248239120984215,0.019533484730837044,0.008653670545614165,448.8074219766483,4.488074219766483,100.0,1.0,1.0,0.0,0.03298723737288184,28.685991646634502,0.0
line_0055,Ni V,1266.403,3127,0.004,True,BLEND_RESOLVED,1266.509224363543,0.0008263200826316599,0.2109761177006057,0.019174281915056046,0.007646149669127462,434.5455101837085,4.526515731080297,96.0,3.0,3.0,4518.65888303105,0.14281357608159542,27.592465074605474,0.6666666666666666
line_0057,Ni V,1268.182,1979,0.002,True,BLEND_RESOLVED,1268.2550304283652,0.007875673538593236,0.102470602331607,0.08649759875123289,0.009139011041698892,217.66653624303382,2.2673597525316023,96.0,3.0,3.0,472.3960354281769,0.012231068466014431,11.212438836550337,0.6666666666666666
line_0059,Ni V,1269.384,4191,0.005,True,,1269.4916011362209,0.015127254682236819,0.11551184857976353,0.267826869670677,0.020802417207380908,243.05016453794323,2.430501645379432,100.0,1.0,1.0,0.0,0.09558316420559525,5.552808956200472,0.0
